"a5","a2","a4","a6","a1","a3","a7"
"","","","PGLS","","",""
"","","","FCHO1","","",""
"","","","B3GNT3","","",""
"","","","CCDC124","","",""
"","","","IL12RB1","","",""
"","","","MAST3","","",""
"","","","PDCB3L","","",""
"","","","CRLF1","","",""
"","","","TMEM59L","","",""
"","","","COMP","","",""
"","","","JMJD4","","",""
"","","","PLPP2","","",""
"","","","TBC1D9B","","",""
"","","","RUFY1","","",""
"","","","COL23A1","","",""
"","","","N4BP3","","",""
"","","","MXD3","","",""
"","","","ENC1","","",""
"","","","FAM169A","","",""
"","","","HMGCR","","",""
"","","","F2RL1","","",""
"","","","PDE8B","","",""
"","","","JMY","","",""
"","","","HOMER1","","",""
"","","","THBS4","","",""
"","","","SERINC5","","",""
"","","","FAM151B","","",""
"","","","MSH3","","",""
"","","","HAPLN1","","",""
"","","","MEF2C","","",""
"","","","ARRDC3","","",""
"","","","NR2F1","","",""
"","","","CAST","","",""
"","","","LNPEP","","",""
"","","","SLCO4C1","","",""
"","","","PAM","","",""
"","","","LVRN","","",""
"","","","ARL14EPL","","",""
"","","","COMMD10","","",""
"","","","PHAX","","",""
"","","","LMNB1","","",""
"","","","MARCHF3","","",""
"","","","SLC12A2","","",""
"","","","ISOC1","","",""
"","","","PDLIM4","","",""
"","","","KIF3A","","",""
"","","","UQCRQ","","",""
"","","","TGFBI","","",""
"","","","KLHL3","","",""
"","","","CDC23","","",""
"","","","KIF20A","","",""
"","","","REEP2","","",""
"","","","EGR1","","",""
"","","","STING1","","",""
"","","","ECSCR","","",""
"","","","HBEGF","","",""
"","","","ARAP3","","",""
"","","","SH3RF2","","",""
"","","","AFAP1L1","","",""
"","","","ARHGEF37","","",""
"","","","PPARGC1B","","",""
"","","","HMGXB3","","",""
"","","","CSF1R","","",""
"","","","DENND2B","","",""
"","","","NRIP3","","",""
"","","","DENND5A","","",""
"","","","PPFIBP2","","",""
"","","","SMPD1","","",""
"","","","APBB1","","",""
"","","","CAVIN3","","",""
"","","","RNF121","","",""
"","","","ARAP1","","",""
"","","","STARD10","","",""
"","","","FCHSD2","","",""
"","","","P2RY6","","",""
"","","","UCP2","","",""
"","","","UCP3","","",""
"","","","PGM2L1","","",""
"","","","P4HA3","","",""
"","","","ARRB1","","",""
"","","","GDPD5","","",""
"","","","LRRC32","","",""
"","","","CAPN5","","",""
"","","","PRCP","","",""
"","","","PRSS23","","",""
"","","","C11orf54","","",""
"","","","C11orf97","","",""
"","","","AMOTL1","","",""
"","","","ENDOD1","","",""
"","","","MMP7","","",""
"","","","MMP3","","",""
"","","","MMP12","","",""
"","","","MMP13","","",""
"","","","SLC35F2","","",""
"","","","EXPH5","","",""
"","","","ARHGAP20","","",""
"","","","SDHD","","",""
"","","","C11orf52","","",""
"","","","USP28","","",""
"","","","SIK3","","",""
"","","","TAGLN","","",""
"","","","BACE1","","",""
"","","","IL10RA","","",""
"","","","TMPRSS4","","",""
"","","","JAML","","",""
"","","","MPZL3","","",""
"","","","MPZL2","","",""
"","","","CCDC153","","",""
"","","","MCAM","","",""
"","","","NECTIN1","","",""
"","","","TRIM29","","",""
"","","","ARHGEF12","","",""
"","","","SORL1","","",""
"","","","HSPA8","","",""
"","","","ESAM","","",""
"","","","MSANTD2","","",""
"","","","FEZ1","","",""
"","","","ST3GAL4","","",""
"","","","ARHGAP32","","",""
"","","","TMEM45B","","",""
"","","","ST14","","",""
"","","","JAM3","","",""
"","","","FMO2","","",""
"","","","ADAM22","","",""
"","","","STEAP4","","",""
"","","","STEAP1","","",""
"","","","CFAP69","","",""
"","","","CDK14","","",""
"","","","PON2","","",""
"","","","PON1","","",""
"","","","ASB4","","",""
"","","","PDK4","","",""
"","","","ICA1","","",""
"","","","SCIN","","",""
"","","","DGKB","","",""
"","","","AGR2","","",""
"","","","ITGB8","","",""
"","","","HGF","","",""
"","","","PTPN12","","",""
"","","","FGL2","","",""
"","","","NAMPT","","",""
"","","","LAMB1","","",""
"","","","CHIT1","","",""
"","","","CENPL","","",""
"","","","RABGAP1L","","",""
"","","","CACYBP","","",""
"","","","TNN","","",""
"","","","BRINP2","","",""
"","","","ANGPTL1","","",""
"","","","QSOX1","","",""
"","","","RNASEL","","",""
"","","","RGS16","","",""
"","","","LAMC1","","",""
"","","","LAMC2","","",""
"","","","ARPC5","","",""
"","","","RGL1","","",""
"","","","C1orf21","","",""
"","","","CENPF","","",""
"","","","ANGEL2","","",""
"","","","VASH2","","",""
"","","","ATF3","","",""
"","","","IRF6","","",""
"","","","G0S2","","",""
"","","","LAMB3","","",""
"","","","IKBKE","","",""
"","","","DYRK3","","",""
"","","","IL10","","",""
"","","","IL19","","",""
"","","","IL20","","",""
"","","","IL24","","",""
"","","","PIGR","","",""
"","","","ACVR2A","","",""
"","","","GTDC1","","",""
"","","","MARCO","","",""
"","","","C1QL2","","",""
"","","","C2orf76","","",""
"","","","TFCP2L1","","",""
"","","","IMP4","","",""
"","","","VEGFC","","",""
"","","","PRIMPOL","","",""
"","","","C4orf47","","",""
"","","","PDLIM3","","",""
"","","","TLR3","","",""
"","","","FGFR1","","",""
"","","","ZNF703","","",""
"","","","GSR","","",""
"","","","RBPMS","","",""
"","","","HERC2","","",""
"","","","FMNL2","","",""
"","","","NR4A2","","",""
"","","","PKP4","","",""
"","","","TANC1","","",""
"","","","ITGB6","","",""
"","","","GALNT3","","",""
"","","","TTC21B","","",""
"","","","NOSTRIN","","",""
"","","","METTL8","","",""
"","","","SLC25A12","","",""
"","","","ITGA6","","",""
"","","","PDK1","","",""
"","","","CDCA7","","",""
"","","","SP3","","",""
"","","","OLA1","","",""
"","","","GPR155","","",""
"","","","ATP5MC3","","",""
"","","","LNPK","","",""
"","","","SESTD1","","",""
"","","","ITGA4","","",""
"","","","GULP1","","",""
"","","","HIBCH","","",""
"","","","INPP1","","",""
"","","","MFSD6","","",""
"","","","MYO1B","","",""
"","","","PGAP1","","",""
"","","","HSPE1","","",""
"","","","PLCL1","","",""
"","","","NDUFB3","","",""
"","","","FZD7","","",""
"","","","ZDBF2","","",""
"","","","MAP2","","",""
"","","","ACADL","","",""
"","","","IKZF2","","",""
"","","","XRCC5","","",""
"","","","CYP27A1","","",""
"","","","PRKAG3","","",""
"","","","EPHA4","","",""
"","","","SERPINE2","","",""
"","","","NYAP2","","",""
"","","","COL4A4","","",""
"","","","COL4A3","","",""
"","","","DNER","","",""
"","","","SLC16A14","","",""
"","","","PDE6D","","",""
"","","","NGEF","","",""
"","","","INPP5D","","",""
"","","","SAG","","",""
"","","","AGAP1","","",""
"","","","ACKR3","","",""
"","","","RAMP1","","",""
"","","","PER2","","",""
"","","","NDUFA10","","",""
"","","","GPC1","","",""
"","","","FARP2","","",""
"","","","KIF1A","","",""
"","","","INSIG1","","",""
"","","","GALNTL5","","",""
"","","","SMARCD3","","",""
"","","","TMEM176A","","",""
"","","","GIMAP2","","",""
"","","","GIMAP8","","",""
"","","","TCAF1","","",""
"","","","EPHA1","","",""
"","","","ZYX","","",""
"","","","MGAM2","","",""
"","","","DENND11","","",""
"","","","BRAF","","",""
"","","","TBXAS1","","",""
"","","","KLRG2","","",""
"","","","KIAA1549","","",""
"","","","ATP6V0A4","","",""
"","","","CREB3L2","","",""
"","","","DGKI","","",""
"","","","CALD1","","",""
"","","","SLC35B4","","",""
"","","","COPG2","","",""
"","","","TMEM209","","",""
"","","","STRIP2","","",""
"","","","AHCYL2","","",""
"","","","TSPAN33","","",""
"","","","IRF5","","",""
"","","","KCP","","",""
"","","","FAM71F2","","",""
"","","","GPR37","","",""
"","","","AASS","","",""
"","","","PTPRZ1","","",""
"","","","CTTNBP2","","",""
"","","","CFTR","","",""
"","","","PDE1C","","",""
"","","","ITPRID1","","",""
"","","","ADCYAP1R1","","",""
"","","","OSBPL3","","",""
"","","","GSDME","","",""
"","","","PALS2","","",""
"","","","PGAM2","","",""
"","","","TNS3","","",""
"","","","CCM2","","",""
"","","","MYO1G","","",""
"","","","GCK","","",""
"","","","POLD2","","",""
"","","","STK17A","","",""
"","","","CTNND2","","",""
"","","","OTULINL","","",""
"","","","RAI14","","",""
"","","","PRLR","","",""
"","","","IL7R","","",""
"","","","SLC1A3","","",""
"","","","EGFLAM","","",""
"","","","LIFR","","",""
"","","","OSMR","","",""
"","","","CCL28","","",""
"","","","ITGA2","","",""
"","","","FST","","",""
"","","","PLPP1","","",""
"","","","DDX4","","",""
"","","","IL6ST","","",""
"","","","ANKRD55","","",""
"","","","PDE4D","","",""
"","","","ERCC8","","",""
"","","","CWC27","","",""
"","","","MAST4","","",""
"","","","MAP1B","","",""
"","","","STC2","","",""
"","","","NEURL1B","","",""
"","","","KCNIP1","","",""
"","","","FOXI1","","",""
"","","","HMMR","","",""
"","","","CCNG1","","",""
"","","","PWWP2A","","",""
"","","","RNF145","","",""
"","","","ADAM19","","",""
"","","","CYFIP2","","",""
"","","","FAT2","","",""
"","","","SEMA5A","","",""
"","","","LPCAT1","","",""
"","","","SLC6A3","","",""
"","","","ZNF750","","",""
"","","","BAIAP2","","",""
"","","","CARD14","","",""
"","","","GAA","","",""
"","","","CYTH1","","",""
"","","","SEC14L1","","",""
"","","","ST6GALNAC1","","",""
"","","","SPHK1","","",""
"","","","PRPSAP1","","",""
"","","","EVPL","","",""
"","","","TRIM47","","",""
"","","","UNC13D","","",""
"","","","ITGB4","","",""
"","","","SLC25A19","","",""
"","","","JPT1","","",""
"","","","SLC16A5","","",""
"","","","CDR2L","","",""
"","","","HID1","","",""
"","","","FADS6","","",""
"","","","TTYH2","","",""
"","","","CDC42EP4","","",""
"","","","SOX9","","",""
"","","","ABCA6","","",""
"","","","PRKAR1A","","",""
"","","","WIPI1","","",""
"","","","ARSG","","",""
"","","","AXIN2","","",""
"","","","PRKCA","","",""
"","","","PECAM1","","",""
"","","","STRADA","","",""
"","","","CYB561","","",""
"","","","MRC2","","",""
"","","","ITGB3","","",""
"","","","MPP3","","",""
"","","","MEOX1","","",""
"","","","ETV4","","",""
"","","","RAMP2","","",""
"","","","PLEKHH3","","",""
"","","","HAP1","","",""
"","","","KRT15","","",""
"","","","KRT13","","",""
"","","","KRT14","","",""
"","","","KRT24","","",""
"","","","CCR7","","",""
"","","","TNS4","","",""
"","","","IGFBP4","","",""
"","","","TOP2A","","",""
"","","","RAPGEFL1","","",""
"","","","CSF3","","",""
"","","","GRB7","","",""
"","","","ERBB2","","",""
"","","","TCAP","","",""
"","","","STAC2","","",""
"","","","PLXDC1","","",""
"","","","TBKBP1","","",""
"","","","OSBPL7","","",""
"","","","SP6","","",""
"","","","ZNF652","","",""
"","","","NGFR","","",""
"","","","FAM117A","","",""
"","","","NXPH3","","",""
"","","","SPATA20","","",""
"","","","ITGA3","","",""
"","","","DLX3","","",""
"","","","UTP18","","",""
"","","","TOM1L1","","",""
"","","","HLF","","",""
"","","","MMD","","",""
"","","","CUEDC1","","",""
"","","","LPO","","",""
"","","","RNF43","","",""
"","","","TMEM98","","",""
"","","","MYO1D","","",""
"","","","CDK5R1","","",""
"","","","RHBDL3","","",""
"","","","ADAP2","","",""
"","","","RAB11FIP4","","",""
"","","","UNC119","","",""
"","","","FLOT2","","",""
"","","","ANKRD13B","","",""
"","","","EFCAB5","","",""
"","","","ABR","","",""
"","","","CLUH","","",""
"","","","ASPA","","",""
"","","","TRPV3","","",""
"","","","CTNS","","",""
"","","","SPNS2","","",""
"","","","WSCD1","","",""
"","","","SCIMP","","",""
"","","","CHRNE","","",""
"","","","VMO1","","",""
"","","","ALOX15","","",""
"","","","SLC16A11","","",""
"","","","ASGR2","","",""
"","","","CLDN7","","",""
"","","","YBX2","","",""
"","","","ATP1B2","","",""
"","","","KDM6B","","",""
"","","","ALOX15B","","",""
"","","","RNF222","","",""
"","","","PIK3R6","","",""
"","","","NTN1","","",""
"","","","USP43","","",""
"","","","TRPV2","","",""
"","","","ALDH3A2","","",""
"","","","SLC47A2","","",""
"","","","FAM83G","","",""
"","","","ARHGAP23","","",""
"","","","ssc-mir-221","","",""
"","","","Y_RNA","","",""
"","","","BCAM","","",""
"","","","ATF7IP2","","",""
"","","","TTC9","","",""
"","","","FHIP1A","","",""
"","","","IRAG1","","",""
"","","","POLR1G","","",""
"","","","SLC41A1","","",""
"","","","CPSF3","","",""
"","","","ARX","","",""
"","","","KIF13A","","",""
"","","","SYNGR1","","",""
"","","","RTL5","","",""
"","","","HNRNPLL","","",""
"","","","BICDL2","","",""
"","","","SDHB","","",""
"","","","LTB4R2","","",""
"","","","EPDR1","","",""
"","","","IL6","","",""
"","","","CAPN13","","",""
"","","","WDR31","","",""
"","","","RAB3B","","",""
"","","","RCBTB1","","",""
"","","","TDRD1","","",""
"","","","NRG2","","",""
"","","","S100A6","","",""
"","","","AP1S1","","",""
"","","","MCF2L","","",""
"","","","BSPRY","","",""
"","","","LPXN","","",""
"","","","DHCR7","","",""
"","","","SELENOP","","",""
"","","","PMM2","","",""
"","","","STX1B","","",""
"","","","ADA","","",""
"","","","THAP2","","",""
"","","","RNF216","","",""
"","","","CDC42EP3","","",""
"","","","CGAS","","",""
"","","","PTGR1","","",""
"","","","TKT","","",""
"","","","DCTN4","","",""
"","","","ZBTB8A","","",""
"","","","MFSD4A","","",""
"","","","PRDM16","","",""
"","","","OCLN","","",""
"","","","HS3ST1","","",""
"","","","CPNE2","","",""
"","","","ATP10B","","",""
"","","","SLC30A3","","",""
"","","","CLDN9","","",""
"","","","PLXNA4","","",""
"","","","MMP25","","",""
"","","","CLCN2","","",""
"","","","ZHX2","","",""
"","","","MESD","","",""
"","","","DAPK2","","",""
"","","","PHLDA2","","",""
"","","","EVA1C","","",""
"","","","ZNF711","","",""
"","","","FLVCR2","","",""
"","","","CHPF","","",""
"","","","ARHGAP28","","",""
"","","","STIP1","","",""
"","","","LAD1","","",""
"","","","NEU3","","",""
"","","","SATB2","","",""
"","","","WWC2","","",""
"","","","ZNF527","","",""
"","","","ARHGEF38","","",""
"","","","B3GALNT1","","",""
"","","","TBCK","","",""
"","","","GDPD3","","",""
"","","","ENOX1","","",""
"","","","MYO1C","","",""
"","","","PTGER2","","",""
"","","","EDDM3B","","",""
"","","","HPN","","",""
"","","","GABRP","","",""
"","","","NDRG4","","",""
"","","","RAC2","","",""
"","","","ZNF383","","",""
"","","","LY75","","",""
"","","","TUSC3","","",""
"","","","ALS2CL","","",""
"","","","NMI","","",""
"","","","RAP1GAP","","",""
"","","","CHST2","","",""
"","","","REEP5","","",""
"","","","ATRAID","","",""
"","","","RASSF10","","",""
"","","","PHLDB2","","",""
"","","","ADGRF4","","",""
"","","","TP53INP2","","",""
"","","","DOCK9","","",""
"","","","TMPRSS11E","","",""
"","","","FNDC3A","","",""
"","","","APBB2","","",""
"","","","CISD3","","",""
"","","","TNFRSF1B","","",""
"","","","CD9","","",""
"","","","FOLR1","","",""
"","","","POLA1","","",""
"","","","PROSER2","","",""
"","","","SPRP","","",""
"","","","DACT3","","",""
"","","","BDH2","","",""
"","","","PCDH1","","",""
"","","","UMODL1","","",""
"","","","NPL","","",""
"","","","BBLN","","",""
"","","","ROPN1L","","",""
"","","","RHPN2","","",""
"","","","ERG","","",""
"","","","FGF13","","",""
"","","","C16orf87","","",""
"","","","SERPINB11","","",""
"","","","SLC6A14","","",""
"","","","SH2D3A","","",""
"","","","TBPL1","","",""
"","","","RGN","","",""
"","","","P2RX1","","",""
"","","","ZNF235","","",""
"","","","F3","","",""
"","","","CBLB","","",""
"","","","AMPD3","","",""
"","","","STK39","","",""
"","","","DPY19L3","","",""
"","","","ARHGEF5","","",""
"","","","ZNF644","","",""
"","","","SLC37A2","","",""
"","","","MATN1","","",""
"","","","TMPRSS3","","",""
"","","","BEX4","","",""
"","","","DENND5B","","",""
"","","","ATP12A","","",""
"","","","SLC7A11","","",""
"","","","PTGES2","","",""
"","","","ZFP1","","",""
"","","","TRPM4","","",""
"","","","NCR1","","",""
"","","","GADD45B","","",""
"","","","RAB20","","",""
"","","","CDH16","","",""
"","","","RHOD","","",""
"","","","DSG2","","",""
"","","","PDGFRB","","",""
"","","","PECR","","",""
"","","","UGCG","","",""
"","","","MOGS","","",""
"","","","S100PBP","","",""
"","","","MCM5","","",""
"","","","IFFO2","","",""
"","","","IL2RA","","",""
"","","","TFF3","","",""
"","","","NAPEPLD","","",""
"","","","NT5C3A","","",""
"","","","EFR3B","","",""
"","","","CLMP","","",""
"","","","ARFGEF3","","",""
"","","","TBC1D8B","","",""
"","","","PKIG","","",""
"","","","CCDC149","","",""
"","","","JAM2","","",""
"","","","ZNF408","","",""
"","","","NET1","","",""
"","","","METTL23","","",""
"","","","CDH3","","",""
"","","","CA4","","",""
"","","","MAOB","","",""
"","","","MRPL45","","",""
"","","","IDH1","","",""
"","","","SCN1B","","",""
"","","","NDUFA1","","",""
"","","","SULT2B1","","",""
"","","","CENPE","","",""
"","","","SCRN3","","",""
"","","","MARS1","","",""
"","","","FCN2","","",""
"","","","UBE2L6","","",""
"","","","LONP2","","",""
"","","","PPM1L","","",""
"","","","ITPR1","","",""
"","","","KLHDC8A","","",""
"","","","SLC46A1","","",""
"","","","IL1RL2","","",""
"","","","SERINC2","","",""
"","","","TAC1","","",""
"","","","AFF1","","",""
"","","","LAP3","","",""
"","","","TNXB","","",""
"","","","SLC12A9","","",""
"","","","GLIS2","","",""
"","","","CTSB","","",""
"","","","PWWP2B","","",""
"","","","MT1A","","",""
"","","","CHIA","","",""
"","","","PTPRJ","","",""
"","","","REEP1","","",""
"","","","KLHDC7A","","",""
"","","","CLDN6","","",""
"","","","MCOLN3","","",""
"","","","TRPM2","","",""
"","","","MRPL27","","",""
"","","","SEMA3C","","",""
"","","","ELK3","","",""
"","","","LRRN1","","",""
"","","","FAIM","","",""
"","","","WFDC1","","",""
"","","","NAALADL2","","",""
"","","","AZIN1","","",""
"","","","RPA3","","",""
"","","","AFAP1","","",""
"","","","ORAI2","","",""
"","","","SLC2A4","","",""
"","","","CFAP126","","",""
"","","","DRAM1","","",""
"","","","DCP1B","","",""
"","","","AGPS","","",""
"","","","PLXNA1","","",""
"","","","FADS1","","",""
"","","","SLC16A3","","",""
"","","","CX3CR1","","",""
"","","","MMRN2","","",""
"","","","VAT1","","",""
"","","","KRT23","","",""
"","","","P2RY11","","",""
"","","","TLN2","","",""
"","","","RIPK2","","",""
"","","","GLB1","","",""
"","","","ANO1","","",""
"","","","TGIF1","","",""
"","","","ARHGEF26","","",""
"","","","CPPED1","","",""
"","","","ARHGEF16","","",""
"","","","CEMIP2","","",""
"","","","PPP1R11","","",""
"","","","DLG4","","",""
"","","","NKIRAS1","","",""
"","","","F13A1","","",""
"","","","ID4","","",""
"","","","COX5A","","",""
"","","","TMPRSS2","","",""
"","","","CCR5","","",""
"","","","CRISP3","","",""
"","","","MET","","",""
"","","","RPS6KA5","","",""
"","","","B3GNT5","","",""
"","","","RHOU","","",""
"","","","CHRNA9","","",""
"","","","SIDT1","","",""
"","","","PTGER4","","",""
"","","","PDE4DIP","","",""
"","","","DEGS1","","",""
"","","","EPHB1","","",""
"","","","AKAP6","","",""
"","","","UQCR10","","",""
"","","","CCR6","","",""
"","","","CEP83","","",""
"","","","ANO9","","",""
"","","","ETV1","","",""
"","","","KRT4","","",""
"","","","TNFAIP1","","",""
"","","","GPRL15","","",""
"","","","FXYD3","","",""
"","","","ABL2","","",""
"","","","TMEM125","","",""
"","","","ACP4","","",""
"","","","HDAC4","","",""
"","","","CAPN14","","",""
"","","","CD59","","",""
"","","","PORCN","","",""
"","","","DSC2","","",""
"","","","MACC1","","",""
"","","","CLCN4","","",""
"","","","PRAM1","","",""
"","","","RCAN3","","",""
"","","","ISG20","","",""
"","","","CPT1C","","",""
"","","","TMEM181","","",""
"","","","B4GALT6","","",""
"","","","RTN1","","",""
"","","","METTL1","","",""
"","","","BPIFB6","","",""
"","","","C16orf89","","",""
"","","","NEGR1","","",""
"","","","ASPH","","",""
"","","","MIX23","","",""
"","","","ITGB2","","",""
"","","","FAM171B","","",""
"","","","ZNF579","","",""
"","","","WDFY1","","",""
"","","","NOTCH3","","",""
"","","","NECAP1","","",""
"","","","ASCC2","","",""
"","","","DDIT4L","","",""
"","","","ARMC5","","",""
"","","","CARD10","","",""
"","","","HEMK1","","",""
"","","","MCTP1","","",""
"","","","ZSCAN31","","",""
"","","","GUCY2D","","",""
"","","","DVL3","","",""
"","","","SUSD2","","",""
"","","","ULK4","","",""
"","","","KCNK5","","",""
"","","","DTX2","","",""
"","","","ILDR1","","",""
"","","","MID1IP1","","",""
"","","","SPSB2","","",""
"","","","PROS1","","",""
"","","","MDH2","","",""
"","","","MCM3","","",""
"","","","VASN","","",""
"","","","ALDH1A2","","",""
"","","","FJX1","","",""
"","","","TP63","","",""
"","","","COBLL1","","",""
"","","","RAVER2","","",""
"","","","ACTR6","","",""
"","","","DENND2D","","",""
"","","","GABRA3","","",""
"","","","HIC1","","",""
"","","","ENTPD3","","",""
"","","","ENPP4","","",""
"","","","FBRS","","",""
"","","","CSF3R","","",""
"","","","KCNAB1","","",""
"","","","SLC15A4","","",""
"","","","SFRP1","","",""
"","","","BOC","","",""
"","","","AP1M2","","",""
"","","","ELN","","",""
"","","","LCLAT1","","",""
"","","","IGFBP5","","",""
"","","","FAM83E","","",""
"","","","CHMP4C","","",""
"","","","SLC38A5","","",""
"","","","SGPP2","","",""
"","","","MSRB3","","",""
"","","","ULBP1","","",""
"","","","FDFT1","","",""
"","","","PRIM1","","",""
"","","","GRHL1","","",""
"","","","TKTL2","","",""
"","","","CDC42EP1","","",""
"","","","EPHA3","","",""
"","","","TNK1","","",""
"","","","GALNT5","","",""
"","","","ACAT1","","",""
"","","","SLC25A40","","",""
"","","","NRXN1","","",""
"","","","AKTIP","","",""
"","","","FAM184B","","",""
"","","","ATP13A5","","",""
"","","","DLG5","","",""
"","","","CCNF","","",""
"","","","SERTAD4","","",""
"","","","NCCRP1","","",""
"","","","PLXNA2","","",""
"","","","GPER1","","",""
"","","","SLC23A1","","",""
"","","","RORC","","",""
"","","","TMEM54","","",""
"","","","PADI2","","",""
"","","","NMT2","","",""
"","","","RALGAPA2","","",""
"","","","EPHB3","","",""
"","","","SLC45A3","","",""
"","","","TLR1","","",""
"","","","HGH1","","",""
"","","","TLR6","","",""
"","","","PTPN13","","",""
"","","","TNFSF14","","",""
"","","","PLCH1","","",""
"","","","PLBD1","","",""
"","","","TMEM150C","","",""
"","","","BTK","","",""
"","","","BYSL","","",""
"","","","OSBPL11","","",""
"","","","ZNF646","","",""
"","","","NECTIN4","","",""
"","","","PSMB8","","",""
"","","","TPGS2","","",""
"","","","WNT10A","","",""
"","","","A4GALT","","",""
"","","","PEX11A","","",""
"","","","PACSIN1","","",""
"","","","ATP5IF1","","",""
"","","","TVP23A","","",""
"","","","SCP2","","",""
"","","","CENPH","","",""
"","","","DSG3","","",""
"","","","PIP5K1B","","",""
"","","","ENOSF1","","",""
"","","","TUBA8","","",""
"","","","PARD6B","","",""
"","","","EPN3","","",""
"","","","SLC35G1","","",""
"","","","CDC7","","",""
"","","","HCFC1R1","","",""
"","","","PSMB1","","",""
"","","","PIK3CG","","",""
"","","","DAGLB","","",""
"","","","PKP3","","",""
"","","","OVOL1","","",""
"","","","WNT7B","","",""
"","","","SH3PXD2B","","",""
"","","","MYH14","","",""
"","","","BCL3","","",""
"","","","OLFM2","","",""
"","","","MRAS","","",""
"","","","DZIP1L","","",""
"","","","GCA","","",""
"","","","TRIP6","","",""
"","","","OSBPL8","","",""
"","","","ESYT3","","",""
"","","","FCGBP","","",""
"","","","DHCR24","","",""
"","","","TAF12","","",""
"","","","IL6R","","",""
"","","","CDIPT","","",""
"","","","LOC102161654","","",""
"","","","EML1","","",""
"","","","RP2","","",""
"","","","LRRFIP2","","",""
"","","","NDUFAF2","","",""
"","","","SHLD2","","",""
"","","","PRRG1","","",""
"","","","CD200","","",""
"","","","HDAC7","","",""
"","","","ERAP2","","",""
"","","","ATP2B1","","",""
"","","","TMEM9","","",""
"","","","FHOD3","","",""
"","","","ADCY5","","",""
"","","","IGSF6","","",""
"","","","ABCB8","","",""
"","","","MST1R","","",""
"","","","ABHD3","","",""
"","","","HDAC11","","",""
"","","","ZNF385C","","",""
"","","","ZBTB7C","","",""
"","","","SLC9B2","","",""
"","","","CLIC6","","",""
"","","","NAA20","","",""
"","","","EPHX3","","",""
"","","","ODF4","","",""
"","","","DNAJC28","","",""
"","","","PFKL","","",""
"","","","INHCA","","",""
"","","","SLC1A4","","",""
"","","","ZFP36L1","","",""
"","","","ARHGEF28","","",""
"","","","RHOBTB1","","",""
"","","","IL1R2","","",""
"","","","PAMR1","","",""
"","","","SAMM50","","",""
"","","","FAM131A","","",""
"","","","FLYWCH1","","",""
"","","","CNKSR1","","",""
"","","","PAX3","","",""
"","","","HSD17B4","","",""
"","","","ARMC10","","",""
"","","","C4orf46","","",""
"","","","VKORC1L1","","",""
"","","","REM1","","",""
"","","","BHLHE41","","",""
"","","","LZTS1","","",""
"","","","RARRES1","","",""
"","","","CYP2G2","","",""
"","","","CASP1","","",""
"","","","ATPAF2","","",""
"","","","NXN","","",""
"","","","DNMT3L","","",""
"","","","LBP","","",""
"","","","ASAP1","","",""
"","","","CCDC181","","",""
"","","","PTPRM","","",""
"","","","CSTA","","",""
"","","","BCAR1","","",""
"","","","DYNLT3","","",""
"","","","SCNN1B","","",""
"","","","AURKB","","",""
"","","","PELI1","","",""
"","","","SLC26A4","","",""
"","","","PHACTR4","","",""
"","","","PPP2R2B","","",""
"","","","DOK6","","",""
"","","","UVRAG","","",""
"","","","TLE2","","",""
"","","","ALDH1A1","","",""
"","","","DRD1","","",""
"","","","CACNB4","","",""
"","","","HRH2","","",""
"","","","MARF1","","",""
"","","","FAM200A","","",""
"","","","MAPRE3","","",""
"","","","SEZ6L2","","",""
"","","","TRIM2","","",""
"","","","AJUBA","","",""
"","","","GDE1","","",""
"","","","SH3BGR","","",""
"","","","PKMYT1","","",""
"","","","PPARGC1A","","",""
"","","","BPIFB4","","",""
"","","","FOXC2","","",""
"","","","KCNE3","","",""
"","","","CCNB1","","",""
"","","","PALLD","","",""
"","","","ZNF791","","",""
"","","","MSI1","","",""
"","","","MRPS18B","","",""
"","","","SESN2","","",""
"","","","SLC16A2","","",""
"","","","STAC3","","",""
"","","","KIF22","","",""
"","","","PXDN","","",""
"","","","AVIL","","",""
"","","","ZNF239","","",""
"","","","NFATC3","","",""
"","","","GPRC5A","","",""
"","","","BMPR1B","","",""
"","","","NECAB3","","",""
"","","","RASSF4","","",""
"","","","PGAP4","","",""
"","","","BPIFB2","","",""
"","","","PLCH2","","",""
"","","","ADGRG2","","",""
"","","","MKX","","",""
"","","","PLCL2","","",""
"","","","TSPAN5","","",""
"","","","SRGAP1","","",""
"","","","VWA8","","",""
"","","","EPB41L4A","","",""
"","","","DUSP14","","",""
"","","","LTF","","",""
"","","","ELF2","","",""
"","","","GCAT","","",""
"","","","PCGF3","","",""
"","","","ARL10","","",""
"","","","DEFB1","","",""
"","","","KLF7","","",""
"","","","PDE9A","","",""
"","","","PLEKHG2","","",""
"","","","CD2AP","","",""
"","","","PIWIL2","","",""
"","","","PFN2","","",""
"","","","PPEF1","","",""
"","","","MLLT11","","",""
"","","","NUTF2","","",""
"","","","ACHE","","",""
"","","","SLC38A9","","",""
"","","","INPP5J","","",""
"","","","SARM1","","",""
"","","","HSPA1L","","",""
"","","","LIMK1","","",""
"","","","UPP1","","",""
"","","","DPP3","","",""
"","","","PRSS33","","",""
"","","","SNX9","","",""
"","","","DMRTA2","","",""
"","","","IGF1R","","",""
"","","","VGLL4","","",""
"","","","HAPLN3","","",""
"","","","PCNA","","",""
"","","","ZNF692","","",""
"","","","TCF7","","",""
"","","","PKP1","","",""
"","","","STK4","","",""
