"a5","a2","a4","a6","a1","a3","a7"
"","","","PPP4R4","","PPP1R12B","DOK2"
"","","","SERPINA1","","KDM5B","ADAM28"
"","","","GSC","","BAG1","CDCA2"
"","","","CLMN","","NUDT5","EPHX2"
"","","","SETD3","","XYLB","INTS9"
"","","","DEGS2","","LARS2","ZNF26"
"","","","SLC25A29","","SLC25A20","DNAH10"
"","","","MOK","","RBM5","ATP6V0A2"
"","","","HSP90AA1","","SEMA3B","CIT"
"","","","JAG2","","IFRD2","IQCD"
"","","","GSTA4","","CACNA2D2","MIF"
"","","","ZCCHC14","","ACOX2","YDJC"
"","","","GSE1","","CNTN4","SLC7A4"
"","","","USP10","","CRELD1","SCARF2"
"","","","ATP2C2","","TATDN2","ACTN2"
"","","","CDH13","","GRIP2","TARBP1"
"","","","GAN","","CHCHD4","NTPCR"
"","","","NUDT7","","TPRG1","BICC1"
"","","","LDHD","","DZIP3","DNA2"
"","","","FA2H","","ALCAM","MYOF"
"","","","MARVELD3","","DOP1B","TBC1D12"
"","","","CHST4","","HLCS","ALDH18A1"
"","","","ZNF23","","MSL3","LOXL4"
"","","","NOB1","","PHEX","NPM3"
"","","","NQO1","","APOO","KCNIP2"
"","","","ATP6V0D1","","ARAF","MFSD13A"
"","","","HSD11B2","","WNK3","CNNM2"
"","","","LRRC36","","DRP2","SLK"
"","","","ELMO3","","ATG4A","PDCD4"
"","","","HSF4","","SLC25A43","NRAP"
"","","","CDH11","","NADSYN1","ATRNL1"
"","","","MMP15","","CORO1B","ZRANB1"
"","","","KIFC3","","FRMD8","UROS"
"","","","PLLP","","VPS51","INPP5A"
"","","","ARL2BP","","RCOR2","EPHX1"
"","","","CCL22","","TMEM109","SDE2"
"","","","MMP2","","TRIM44","KIF14"
"","","","IRX3","","NAT10","CTSL"
"","","","TOX3","","IMMP1L","AGTPBP1"
"","","","GPT2","","EIF4G2","FRMD3"
"","","","LSR","","DOT1L","BAMBI"
"","","","MAG","","SIRT6","JCAD"
"","","","APLP1","","TRIP10","VIM"
"","","","ZNF260","","TMEM205","PDSS1"
"","","","ZNF567","","MAN2B1","MASTL"
"","","","GGN","","DNASE2","GATA3"
"","","","ZNF546","","TRMT1","KCNH8"
"","","","AKT2","","FARSA","EFHB"
"","","","CYP2A19","","NDUFB7","OSBPL10"
"","","","CYP2F1","","COLGALT1","ZNF502"
"","","","ITPKC","","PBX4","FYCO1"
"","","","CYP2B6B","","RASGEF1C","TREX1"
"","","","EXOSC5","","CANX","BSN"
"","","","TMEM145","","CLK4","TWF2"
"","","","ARHGEF1","","PHYKPL","SFMBT1"
"","","","CADM4","","LMAN2","CFAP20DC"
"","","","LYPD3","","HEXB","ADAMTS9"
"","","","PHLDB3","","VCAN","PDZRN3"
"","","","ETHE1","","ARSK","LMCD1"
"","","","ZNF45","","ELL2","NUP210"
"","","","CEACAM19","","ERAP1","TM4SF18"
"","","","CBLC","","WDR36","P2RY14"
"","","","APOE","","SLC27A6","TBL1XR1"
"","","","TOMM40","","SLC4A9","TMEM44"
"","","","FKRP","","NDUFA2","POPDC2"
"","","","NPAS1","","OR51E1","COL8A1"
"","","","TMEM160","","MRPL48","SHROOM4"
"","","","SAE1","","COA4","IQSEC2"
"","","","ZNF541","","SLCO2B1","MSN"
"","","","FUT2","","MYO7A","DLG3"
"","","","NTN5","","UBASH3B","IL2RG"
"","","","ALDH16A1","","VWA5A","NHSL2"
"","","","TSKS","","SIAE","PGK1"
"","","","NAPSA","","ATP2B4","ITM2A"
"","","","MYBPC2","","DSTYK","BEX3"
"","","","SPACA6","","FAM185A","FAM199X"
"","","","ZNF614","","DARS2","LRCH2"
"","","","OSCAR","","TOR3A","SLC25A5"
"","","","TMC4","","GLUL","CD99L2"
"","","","FCAR","","SWT1","TSPAN4"
"","","","PEG3","","ZRANB3","TALDO1"
"","","","VWA1","","BIN1","NDUFV1"
"","","","CHD5","","GLI2","PPP1CA"
"","","","PLEKHG5","","AGA","SNX32"
"","","","ACOT7","","SLC25A4","SIPA1"
"","","","PARK7","","DDHD2","CDCA5"
"","","","CA6","","CCDC148","COX8A"
"","","","TMEM201","","DPP4","LGALS12"
"","","","CLSTN1","","CCDC141","CD5"
"","","","NMNAT1","","DNAJC10","MRPL16"
"","","","PGD","","FRZB","SPI1"
"","","","DRAXIN","","DUSP19","TSPAN18"
"","","","PLOD1","","NABP1","LGR4"
"","","","DHRS3","","SPATS2L","BBOX1"
"","","","FHAD1","","CYP20A1","E2F8"
"","","","CTRC","","FZD5","TMEM86A"
"","","","FBLIM1","","PLEKHM3","LDHA"
"","","","FAM131C","","MAD2L1BP","LSM7"
"","","","EPHA2","","ESYT2","INSR"
"","","","ARHGEF19","","SSBP1","STXBP2"
"","","","PADI1","","FOXP2","EVI5L"
"","","","SH2D5","","AOAH","MYO1F"
"","","","ECE1","","ANLN","PDE4A"
"","","","LUZP1","","HIBADH","ICAM4"
"","","","GRHL3","","TMED4","RNASEH2A"
"","","","NCMAP","","RETREG1","RASAL3"
"","","","PAQR7","","SPEF2","F2RL3"
"","","","NUDC","","DAB2","SLC25A42"
"","","","KDF1","","C7","CILP2"
"","","","FGR","","NNT","MAML1"
"","","","GJB5","","NDUFS4","IQGAP2"
"","","","PTPRU","","SETD9","KIAA0825"
"","","","COL16A1","","GPBP1","RGMB"
"","","","MFSD2A","","RAB3D","MCC"
"","","","RALBP1","","PIK3R1","SLC35A4"
"","","","ANKRD12","","ZNF366","DIAPH1"
"","","","MTCL1","","RANBP17","NR3C1"
"","","","MYOM1","","TENM2","ABLIM3"
"","","","GREB1L","","TNIP1","RIC3"
"","","","CABLES1","","SGSH","ATG16L2"
"","","","ANKRD29","","GGA3","CHRDL2"
"","","","LAMA3","","NAT9","KLHL35"
"","","","RNF125","","SLC9A3R1","DLG2"
"","","","GAREM1","","CD300LB","PICALM"
"","","","GALNT1","","C17orf80","ARHGAP42"
"","","","CYP4A90","","MAP3K14","CFAP300"
"","","","SSX2IP","","HEXIM1","BCL9L"
"","","","CTBS","","ACBD4","ETS1"
"","","","TTLL7","","DCAKD","ADAMTS15"
"","","","ADGRL2","","GRN","ETNK2"
"","","","ADGRL4","","ATXN7L3","SOX13"
"","","","MIGA1","","STAT5A","TFPI2"
"","","","CRYZ","","KCNH4","PPP1R9A"
"","","","CTH","","DHX58","DNAH11"
"","","","IL23R","","CDC6","ELAPOR2"
"","","","PDE4B","","MIEN1","CD36"
"","","","DNAJC6","","CACNB1","PHTF2"
"","","","ROR1","","DGKE","DNAJC2"
"","","","TACSTD2","","SCPEP1","COP1"
"","","","GLIS1","","PHF12","ASTN1"
"","","","ECHDC2","","ITGAE","RASAL2"
"","","","ZFYVE9","","PIMREG","RALGPS2"
"","","","TTC39A","","PLD2","XPR1"
"","","","CDKN2C","","PIK3R5","CACNA1E"
"","","","CYP4B1","","ARHGAP44","PTPN14"
"","","","MOB3C","","COX10","DTL"
"","","","MKNK1","","UBB","NEK2"
"","","","TSPAN1","","SNORD46","HSD11B1"
"","","","PLK3","","ssc-mir-186","C4BPB"
"","","","C1orf210","","U6","ARHGAP15"
"","","","THBS2","","MAP3K8","KYNU"
"","","","RPS6KA2","","DES","TMEM163"
"","","","CEP43","","DYNLL2","ANGPT2"
"","","","MRPL18","","CSRP1","STOX2"
"","","","CNKSR3","","DPEP2","CENPU"
"","","","PLAGL1","","CHD3","CCDC110"
"","","","FUCA2","","SGK1","ADGRA2"
"","","","PEX3","","SOAT1","UBXN8"
"","","","AIG1","","ZDHHC13","ARL6IP6"
"","","","HIVEP2","","PIGT","SPC25"
"","","","CITED2","","MDFIC","HAT1"
"","","","TNFAIP3","","CLEC5A","MAP3K20"
"","","","IFNGR1","","KCTD6","FKBP7"
"","","","IL20RA","","RBPJ","CCDC150"
"","","","PEX7","","EIF4EBP1","SGO2"
"","","","PDE7B","","GPR34","ALS2"
"","","","SLC2A12","","A4GNT","PARD3B"
"","","","STX7","","MARK4","CMKLR2"
"","","","MOXD1","","PPP1R3F","ERBB4"
"","","","CCN2","","PPP1R3B","FN1"
"","","","ENPP1","","TMUB2","ABCB6"
"","","","MED23","","SLC4A3","AGFG1"
"","","","HDDC2","","IDO2","ATG16L1"
"","","","FABP7","","WDR4","HJURP"
"","","","PKIB","","CLN8","SNED1"
"","","","OGFRL1","","SLC66A2","PRKAG2"
"","","","PM20D2","","RBM22","NOS3"
"","","","ANKRD6","","NFIA","ATP6V1F"
"","","","BACH2","","SH3TC2","WNT16"
"","","","EPHA7","","SRXN1","NOD1"
"","","","FHL5","","PNRC2","WIPF3"
"","","","BVES","","PLA2G4A","HOXA5"
"","","","PRDM1","","HSPB6","SKAP2"
"","","","SOBP","","MBOAT2","STK31"
"","","","DDO","","PARP1","PDZD2"
"","","","SMPD2","","GNS","TARS1"
"","","","SLC16A10","","TBC1D30","CPEB4"
"","","","TRAF3IP2","","CCL17","TIMD4"
"","","","CCN6","","ACSF3","FAXDC2"
"","","","FRK","","PHF21A","GM2A"
"","","","TPBG","","MLH1","ANXA6"
"","","","TENT5A","","CCDC91","NDUFS6"
"","","","LCA5","","RAB39B","METRNL"
"","","","MYO6","","MT3","CHMP6"
"","","","SLC14A1","","NDUFA4","JUP"
"","","","SIGLEC15","","PHLDB1","ZPBP2"
"","","","ATP5F1A","","SPART","STARD3"
"","","","CTIF","","PHB2","LRRC46"
"","","","SMAD7","","GFOD2","CACNA1G"
"","","","DYM","","ETV3","STXBP4"
"","","","ACAA2","","NFU1","HEATR9"
"","","","MYO5B","","RYBP","RNF135"
"","","","MAPK4","","CDK4","CRLF3"
"","","","STARD6","","LGI4","SLC6A4"
"","","","C18orf54","","RNF19B","TLCD3A"
"","","","TCF4","","SHOX2","SHPK"
"","","","FECH","","COQ9","ARRB2"
"","","","PCLAF","","ZNF596","ACADVL"
"","","","CSNK1G1","","PHC2","SNORA29"
"","","","CA12","","TFAP2B","SNORD94"
"","","","TPM1","","UBE2Z","MAP3K15"
"","","","GCNT3","","TMEM106A","KCNAB2"
"","","","FAM81A","","PDHB","SCARA3"
"","","","CCNB2","","SSBP4","SLC26A11"
"","","","AQP9","","MAP3K5","BLVRB"
"","","","PYGO1","","ADGRL3","PFKM"
"","","","UNC13C","","VWA5B2","FKBP9"
"","","","WDR72","","ARHGAP31","GJC1"
"","","","MYO5A","","RAB29","TRDMT1"
"","","","MYO5C","","SCAP","ZNF879"
"","","","GNB5","","PMAIP1","MXRA8"
"","","","LYSMD2","","BABAM2","ZNF135"
"","","","ATP8B4","","PRXL2B","SYT7"
"","","","GALK2","","DTD2","SFXN3"
"","","","MYEF2","","CDIN1","ZBTB38"
"","","","SEMA6D","","DRAM2","BRCA1"
"","","","SQOR","","LURAP1","MXI1"
"","","","SLC30A4","","LMNTD1","ARSL"
"","","","C15orf48","","LPCAT3","SNRNP35"
"","","","GATM","","EPC2","WNT11"
"","","","SHF","","DGKQ","BANK1"
"","","","DUOX1","","CAMSAP2","STK10"
"","","","DUOXA2","","TRNP1","FIBIN"
"","","","DUOX2","","PI4K2B","PPA2"
"","","","SORD","","CSTB","RHOJ"
"","","","MAP1A","","TBC1D2B","ZNF704"
"","","","TMEM62","","FUCA1","LMO1"
"","","","CAPN3","","RNF183","ZNF385B"
"","","","PLA2G4F","","PDZD3","SH3YL1"
"","","","SPTBN5","","SOCS1","EHD2"
"","","","RHOV","","TLR10","PCSK5"
"","","","SPINT1","","ZWINT","RAPGEF3"
"","","","PLCB2","","CDK5RAP2","CCRL2"
"","","","PAK6","","THYN1","CPM"
"","","","FAM98B","","ACTG1","TECTA"
"","","","CERS3","","TMEM106C","LRP1B"
"","","","ALDH1A3","","CCDC102A","CLEC14A"
"","","","CHSY1","","VPS37C","ETAA1"
"","","","CACHD1","","HAVCR2","GOLM2"
"","","","TJP1","","RB1CC1","AMPH"
