NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,BvsA_pvalue,BvsA_padj,Avg_norm_nose,Avg_norm_lung,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
396814,3559,ENSSSCG00000022849,ENSG00000134460,IL2RA,IL2RA,D,-4.398198968,1.38E-14,4.24E-13,537.0696346,29.59018165,1235.153478,771.026969,298.217747,814.3603301,271.9026663,329.8887686,146.5266715,429.4804461,10.49972539,43.47218881,27.98638587,36.40242654
110261056,3589,ENSSSCG00000040725,ENSG00000095752,IL11,IL11,D,-4.129588334,0.0004531,0.00205593,11.36200925,0.795222966,26.26292834,2.578685515,4.703749953,16.23309628,6.164040293,6.04191884,5.171529584,23.74012516,0,3.180891864,0,0
100271930,3575,ENSSSCG00000016832,ENSG00000168685,IL7R,IL7R,D,-4.021837389,4.43E-13,1.09E-11,1161.304238,83.30848355,2096.25919,1266.134588,627.4802438,2526.951988,947.8924185,601.7751164,255.9907144,967.9496486,36.27177863,83.76348576,60.97034064,152.2283292
397106,3586,ENSSSCG00000015652,ENSG00000136634,IL10,IL10,D,-3.879817488,1.37E-12,3.15E-11,1167.451381,99.61226871,1696.74434,1084.337259,2262.503728,1018.626792,725.9869679,790.2829842,1344.597692,416.5312869,40.0898606,166.4666742,74.96353358,116.9290065
100513377,54756,ENSSSCG00000011463,ENSG00000144730,IL17RD,IL17RD,D,-3.500413172,0.000910016,0.003821622,19.90420453,1.622550842,0,27.07619791,17.87424982,17.58585431,0.684893366,48.33535072,12.06690236,35.61018774,0,3.180891864,0,3.309311503
100518723,50615,ENSSSCG00000007816,ENSG00000103522,IL21R,IL21R,D,-3.206055328,9.33E-07,7.70E-06,471.6655484,67.49386852,908.0606436,379.0667707,467.5527454,608.7411106,415.0453798,428.9762376,272.3672248,293.5142747,4.772602452,85.88408033,25.98735831,153.331433
100518643,90865,ENSSSCG00000005203,ENSG00000137033,IL33,IL33,D,-3.145698245,0.005261825,0.017781728,183.0982224,25.27377334,456.0199376,52.86305306,27.28174973,370.6556984,26.02594791,44.71019941,57.74874702,429.4804461,0.95452049,30.74862135,0.999513781,68.39243774
100626904,3554,ENSSSCG00000008162,ENSG00000115594,IL1R1,IL1R1,D,-3.035806773,3.11E-07,2.84E-06,568.8655433,64.14955958,142.4564901,484.7928769,282.2249972,1405.515586,111.6376186,495.4373448,229.2711449,1399.588288,13.36328687,109.2106207,15.9922205,118.0321103
733613,149233,ENSSSCG00000003801,ENSG00000162594,IL23R,IL23R,D,-2.877906501,5.65E-05,0.000322819,118.2074046,19.15134726,116.9894081,199.8481274,74.31924926,75.75444932,133.5542064,211.4671594,51.71529584,82.01134146,2.863561471,56.19575627,0.999513781,16.54655752
399500,3569,ENSSSCG00000020970,ENSG00000136244,IL6,IL6,D,-2.860312838,2.95E-09,3.87E-08,171.5047366,26.74243549,117.7852544,81.22859373,165.5719984,282.7264269,150.6765405,84.58686375,147.3885931,342.0736216,18.13588932,43.47218881,19.99027562,25.37138819
100522044,133396,ENSSSCG00000016915,ENSG00000164509,IL31RA,IL31RA,D,-2.392825655,0.060275991,0.141814074,16.22285137,2.704251403,14.32523364,23.20816964,0,70.34341722,2.054680098,0,2.585764792,17.26554557,0,5.30148644,0,5.515519172
100517818,8807,ENSSSCG00000008157,ENSG00000115607,IL18RAP,IL18RAP,D,-2.390950793,0.035964005,0.09267821,16.01175052,2.445384478,10.34600207,25.78685515,3.762999963,77.10720734,0,4.833535072,0.861921597,5.395482991,0,1.060297288,0.999513781,7.721726841
100155546,51561,ENSSSCG00000033520,ENSG00000110944,IL23A,IL23A,D,-2.3100085,0.062366325,0.145912458,126.7542569,40.84624845,426.573624,5.15737103,123.2382488,31.11343454,249.3011852,6.04191884,167.2127899,5.395482991,63.95287286,45.59278339,33.98346855,19.85586902
100525654,3587,ENSSSCG00000015085,ENSG00000110324,IL10RA,IL10RA,D,-2.129692618,6.31E-12,1.30E-10,2867.508504,657.6645249,2798.991484,5322.406903,2140.206229,3835.068997,1497.861791,4422.684591,1504.915109,1417.93293,607.0750319,919.2777487,424.7933569,679.511962
100037294,3572,ENSSSCG00000016916,ENSG00000134352,IL6ST,IL6ST,D,-1.89856982,3.92E-05,0.000232053,1638.62732,413.0300079,307.196677,2037.161557,1061.165989,3199.272726,341.7617896,1482.686883,1268.748591,3411.024347,177.5408112,618.1533189,176.9139392,679.511962
399522,3570,ENSSSCG00000027628,ENSG00000160712,IL6R,IL6R,D,-1.644506379,1.73E-10,2.80E-09,1047.08314,330.4510798,599.272274,1928.856765,841.0304917,1504.266922,476.0008893,1613.19233,687.8134347,726.2320106,216.6761513,458.0484284,163.9202601,483.1594795
397614,3566,ENSSSCG00000007817,ENSG00000077238,IL4R,IL4R,D,-1.146710256,3.23E-05,0.000194404,4063.077789,1864.723758,4468.67705,6163.058381,2256.859228,6552.759866,2380.004447,5134.42263,1978.110066,3570.730643,1872.769202,2076.06209,1458.290607,2051.773132
102162772,27190,ENSSSCG00000014434,ENSG00000127743,IL17B,IL17B,D,-1.054138692,0.153121616,0.303947666,38.70371748,17.49132607,0.795846313,21.91882688,78.08224923,59.52135303,2.739573464,41.08504811,31.0291775,74.45766527,21.95397128,9.542675593,11.99416537,26.47449203
100522257,259307,ENSSSCG00000003192,ENSG00000104951,IL4I1,IL4I1,D,-1.021608266,9.67E-05,0.00052166,477.9760872,239.2423666,512.5250258,716.8745732,447.7969956,836.0044585,215.7414103,496.6457286,293.9152647,304.3052407,199.4947825,237.5065925,240.8828212,279.0852701
100524166,,ENSSSCG00000010968,ENSG00000258728,IL11RA,IL11RA,D,-0.897134246,0.110067951,0.232941563,77.05477552,36.96001271,11.14184839,91.54333579,77.14149924,98.75133572,4.794253562,163.1318087,83.60639494,86.32772785,21.95397128,21.20594576,64.96839577,39.71173804
396657,,ENSSSCG00000041289,ENSG00000249624,IL10RB,IL10RB,D,-0.735765707,0.098266044,0.212375108,1972.251907,1398.133463,3621.100726,2144.177006,1711.224233,2213.112126,1701.275121,2055.460789,1127.393449,1204.271804,1526.278264,1464.270555,1162.434527,1439.550504
493187,246778,ENSSSCG00000039300,ENSG00000197272,IL27,IL27,D,-0.318846253,0.374547214,0.605596193,214.273483,192.4637966,268.9960539,290.1021205,255.8839975,211.0302517,150.6765405,217.5090782,181.865457,138.1243646,203.3128645,171.7681607,192.9061597,201.8680017
100518910,23765,ENSSSCG00000000765,ENSG00000177663,IL17RA,IL17RA,D,-0.315384995,0.017037746,0.048897451,670.7310063,508.3418919,354.9474558,1098.520029,417.6929959,1040.27092,299.2984009,1060.960948,441.3038578,652.8534419,480.1238067,541.8119142,458.7768255,552.6550211
397057,3606,ENSSSCG00000015037,ENSG00000150782,IL18,IL18,D,-0.237070814,0.57798529,0.807432585,360.9008356,318.8536152,157.5775701,448.6912796,264.3507474,305.7233133,222.5903439,950.9980253,347.3544037,189.9210013,171.8136883,573.6208328,154.9246361,375.0553037
397615,3597,ENSSSCG00000012633,ENSG00000131724,IL13RA1,IL13RA1,D,-0.164539295,0.526095381,0.762744356,1289.148713,1156.956578,1171.485773,1321.576327,1050.81774,2437.669958,575.9953208,1210.800535,885.1934805,1659.650568,830.4328266,964.8705321,1620.211839,1212.311114
100511742,9466,ENSSSCG00000013766,ENSG00000104998,IL27RA,IL27RA,D,-0.136125969,0.421372429,0.657737567,415.425994,372.7861335,221.2452751,740.0827429,435.5672457,583.0387081,193.8248226,424.1427025,324.0825206,401.4239345,314.9917618,355.1995915,380.8147506,440.13843
397178,3595,ENSSSCG00000003799,ENSG00000081985,IL12RB2,IL12RB2,D,-0.02539659,0.972752226,0.987426745,52.0227848,50.28147753,12.73354101,99.27939233,20.69649979,54.11032094,7.533827025,131.7138307,62.05835501,28.05651155,4.772602452,39.23099966,5.997082686,151.1252253
100621776,3560,ENSSSCG00000029668,ENSG00000100385,IL2RB,IL2RB,D,0.041418812,0.952015106,0.972195155,200.2530614,210.3485189,65.2593977,275.9193501,119.4752488,359.8336342,64.3799764,333.5139199,190.484673,193.1582911,8.590684413,250.23016,19.99027562,562.5829556
100628318,3556,ENSSSCG00000021206,ENSG00000196083,IL1RAP,IL1RAP,D,0.182155725,0.717273792,0.913969169,540.3857303,618.3228881,873.0434058,536.3665872,336.7884967,1593.548952,209.57737,196.9665542,194.794281,382.0001958,534.5314746,888.5291274,552.7311209,497.4998293
100737468,146433,ENSSSCG00000040629,ENSG00000157368,IL34,IL34,D,0.200712555,0.779964451,0.94545507,21.95760057,26.42180991,3.183385254,23.20816964,23.51874977,36.52446663,4.109360196,13.29222145,27.58149111,44.24296052,1.909040981,37.11040508,5.997082686,60.6707109
