baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000000838	52.3506091510663	-2.16553335411379	0.685446971662738	-3.15930107453928	0.00158148021839718	0.0445532713605278
ENSSSCG00000000849	1086.2987160031	-1.7202152108465	0.381290260976264	-4.51156346464771	6.43515225472043e-06	0.000501647697479406
ENSSSCG00000000857	83.5912932376052	-4.09174967440013	0.735810434904432	-5.56087475836297	2.68425782280252e-08	4.36868719330796e-06
ENSSSCG00000000870	52.0614110755866	-1.7475891869071	0.5405722657791	-3.23285025432888	0.0012256178912099	0.0365461842008425
ENSSSCG00000000871	19.925486168186	-4.64780445334203	1.29387368738857	-3.5921624333537	0.000327945321284236	0.0127459546238164
ENSSSCG00000000915	72.3657221171155	-2.7724593673203	0.824272852724247	-3.36352138513022	0.000769548738838431	0.0257308428804752
ENSSSCG00000000916	78.8862772474435	-3.84864538749201	0.92965872084959	-4.1398475603766	3.47536686486739e-05	0.00211656048082683
ENSSSCG00000000939	108.981975959994	-1.59151351654714	0.445076525304619	-3.57581994570008	0.000349131894290203	0.013436589187501
ENSSSCG00000000975	46.8550595441769	-4.48748632908901	0.875777379154615	-5.12400346926152	2.99115474542123e-07	3.45807907093529e-05
ENSSSCG00000000981	115.528979500153	-2.09464475687645	0.522896895994156	-4.00584660747318	6.17957437904986e-05	0.00335195839677925
ENSSSCG00000001000	80.3111519995102	2.02218013724326	0.559865060744434	3.61190629498192	0.000303954404959906	0.012107667394549
ENSSSCG00000001036	133.506075496697	-6.45520002057457	0.859520992888258	-7.51022962089977	5.90237413482733e-14	2.82526975253735e-11
ENSSSCG00000001089	83.3777649560775	6.58213804070179	0.806262496047216	8.1637656135209	3.24738742129498e-16	2.06050507913052e-13
ENSSSCG00000001100	130.76491936894	1.553975033468	0.341194941997002	4.55450782585648	5.25083701279233e-06	0.000423857506085875
ENSSSCG00000001382	229.304604585014	-1.62981616403129	0.522107331343867	-3.12161133580764	0.00179864222997386	0.048775080082246
ENSSSCG00000001427	633.720387273612	-3.43644096178256	0.552555084330085	-6.21918259235435	4.99751474714402e-10	1.19607186281647e-07
ENSSSCG00000001437	229.068818995187	7.93826325180603	1.37447769743936	5.77547621659844	7.6735739259843e-09	1.5624312760937e-06
ENSSSCG00000001440	102.56775172633	1.52668206307048	0.486673058862038	3.13697673473078	0.00170699671864061	0.0471871311766873
