	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000037557	122	116	146	47	123	24	6	75	31	22	159	146
ENSSSCG00000037558	179	94	269	200	170	134	100	158	187	85	331	262
ENSSSCG00000037559	148	110	113	135	56	123	54	159	29	21	54	43
ENSSSCG00000037561	620	466	755	696	555	527	242	721	1151	569	3464	1608
ENSSSCG00000037562	55	31	93	19	60	50	5	22	23	6	49	52
ENSSSCG00000037563	1769	1700	1887	1467	1473	1576	843	2177	703	315	2257	1860
ENSSSCG00000037564	87	57	85	11	27	5	5	65	0	15	0	0
ENSSSCG00000037565	354	239	383	382	683	266	141	362	104	38	125	101
ENSSSCG00000037566	72	5	0	89	49	9	22	85	36	32	56	286
ENSSSCG00000037567	6	0	0	3	0	0	1	0	1	7	32	30
ENSSSCG00000037568	154	123	25	148	233	148	72	209	86	39	165	186
ENSSSCG00000037569	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037572	114	7	15	36	204	46	16	49	60	10	142	118
ENSSSCG00000037573	0	0	0	0	0	0	20	0	3	3	0	0
ENSSSCG00000037575	43	21	31	38	52	6	8	64	0	6	11	0
ENSSSCG00000037577	15	0	38	3	0	0	9	0	0	2	0	0
ENSSSCG00000037579	3	0	0	0	0	0	0	0	12	43	44	92
ENSSSCG00000037580	40	7	93	30	49	99	24	47	37	19	57	209
ENSSSCG00000037581	4	8	0	0	0	0	0	0	9	0	15	0
ENSSSCG00000037582	132	42	63	84	66	45	5	207	10	11	43	24
ENSSSCG00000037583	40	44	4	73	67	0	7	140	20	14	45	68
ENSSSCG00000037586	0	9	0	0	0	0	1	0	0	14	0	0
ENSSSCG00000037588	1	0	0	10	0	0	28	2	2	2	0	0
ENSSSCG00000037590	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037591	13	33	30	109	111	3	10	76	8	3	37	45
ENSSSCG00000037592	0	3	0	0	0	0	0	33	0	0	0	0
ENSSSCG00000037594	1145	395	943	852	1640	412	315	949	228	212	1018	618
ENSSSCG00000037595	29	6	12	12	54	49	12	49	0	7	94	57
ENSSSCG00000037596	0	0	5	0	0	0	0	38	0	0	0	0
ENSSSCG00000037597	118	32	110	72	56	71	22	110	18	13	54	10
ENSSSCG00000037598	28	14	28	0	31	48	3	16	36	32	259	168
ENSSSCG00000037600	0	0	0	88	21	30	1	0	1	5	2	0
ENSSSCG00000037601	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000037602	13	5	24	37	27	0	16	0	0	0	0	10
ENSSSCG00000037604	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037605	20	17	29	4	53	15	10	2	7	7	40	27
ENSSSCG00000037606	31	55	2	8	43	11	6	24	22	30	33	40
ENSSSCG00000037608	0	1	11	1	15	0	14	50	0	5	19	0
ENSSSCG00000037609	14	0	26	14	7	36	0	29	0	11	7	0
ENSSSCG00000037610	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037612	0	10	0	0	0	0	13	0	0	4	0	0
ENSSSCG00000037615	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037616	0	0	0	0	0	0	0	0	0	7	0	0
ENSSSCG00000037617	25	40	0	10	51	5	17	73	5	31	84	98
ENSSSCG00000037619	15	19	27	21	27	34	8	12	14	14	41	13
ENSSSCG00000037620	4	40	0	0	0	39	30	0	7	15	0	0
ENSSSCG00000037621	196	235	360	140	81	199	16	289	121	52	184	93
ENSSSCG00000037628	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037630	265	260	195	282	610	89	75	273	348	68	338	373
ENSSSCG00000037632	0	0	0	0	0	0	0	0	3	2	0	0
ENSSSCG00000037633	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037634	301	166	317	48	12	78	9	116	10	22	20	63
ENSSSCG00000037635	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000037637	29	10	108	20	75	5	0	33	11	16	47	7
ENSSSCG00000037639	112	30	6	70	97	29	9	46	28	33	60	95
ENSSSCG00000037642	143	89	42	332	370	104	86	169	28	10	155	147
ENSSSCG00000037644	830	561	719	332	367	334	279	625	627	265	898	1123
ENSSSCG00000037645	218	143	124	140	227	149	111	270	205	95	414	535
ENSSSCG00000037646	42	69	40	59	9	33	29	6	34	8	30	236
ENSSSCG00000037647	149	22	48	49	162	63	80	130	18	16	49	27
ENSSSCG00000037648	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037652	64	78	59	23	63	13	34	76	35	28	1	16
ENSSSCG00000037653	95	37	75	44	132	30	27	150	3	8	78	78
ENSSSCG00000037654	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037655	93	110	79	178	84	33	55	124	10	23	84	57
ENSSSCG00000037656	19	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037660	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037663	318	142	325	183	214	187	47	221	64	48	199	75
ENSSSCG00000037664	1	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000037666	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037668	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037669	133	46	11	36	133	29	53	53	41	7	12	0
ENSSSCG00000037670	127	133	188	86	110	110	42	123	81	37	255	28
ENSSSCG00000037671	316	220	250	411	313	231	174	380	143	74	393	317
ENSSSCG00000037673	181	57	63	142	221	29	67	181	36	62	182	173
ENSSSCG00000037674	9	0	11	0	16	5	0	0	0	5	0	0
ENSSSCG00000037675	0	11	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037676	146	123	122	43	83	10	26	133	37	39	62	46
ENSSSCG00000037677	8	0	0	0	9	0	29	0	7	34	10	0
ENSSSCG00000037680	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037681	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037682	48	0	0	10	50	8	34	31	11	5	0	10
ENSSSCG00000037684	7	8	0	0	4	24	9	0	0	9	2	0
ENSSSCG00000037685	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037686	217	87	79	123	164	161	51	193	61	53	184	153
ENSSSCG00000037687	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037688	0	0	30	0	0	0	0	0	0	2	0	0
ENSSSCG00000037690	0	0	0	0	0	0	5	0	0	0	17	0
ENSSSCG00000037692	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037695	0	0	0	1	0	0	1	1	1	7	0	1
ENSSSCG00000037696	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037697	278	90	146	1281	435	315	80	345	14	0	168	66
ENSSSCG00000037698	4	36	49	0	7	15	0	0	11	2	0	0
ENSSSCG00000037699	0	6	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000037700	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037701	0	14	3	0	2	2	19	0	39	11	40	11
ENSSSCG00000037703	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037704	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037705	0	0	0	0	0	0	22	3	9	19	0	0
ENSSSCG00000037706	61	60	55	154	124	54	43	81	22	20	16	4
ENSSSCG00000037709	8	4	0	50	30	8	14	0	11	8	0	0
ENSSSCG00000037710	162	50	68	84	177	112	33	97	71	37	124	118
ENSSSCG00000037714	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000037715	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037717	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037718	0	0	0	0	1	0	6	0	0	2	0	0
ENSSSCG00000037719	250	252	295	302	331	356	63	250	109	92	468	466
ENSSSCG00000037720	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037722	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037723	4	8	1	4	0	0	24	0	0	11	33	18
ENSSSCG00000037724	5	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037725	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037728	1	40	0	62	7	46	15	40	1	1	13	16
ENSSSCG00000037731	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037732	36	66	59	4	48	0	27	23	4	20	39	51
ENSSSCG00000037733	3	0	23	0	33	42	5	70	0	7	1	0
ENSSSCG00000037734	106	33	26	75	90	60	40	78	44	13	97	41
ENSSSCG00000037735	5	32	12	0	0	0	4	0	23	34	42	42
ENSSSCG00000037738	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037739	0	0	8	0	0	0	0	0	0	7	14	0
ENSSSCG00000037744	18	12	68	4	74	5	12	59	25	4	10	17
ENSSSCG00000037745	10	17	0	3	6	0	0	0	0	30	1	0
ENSSSCG00000037746	40	44	37	32	145	11	62	96	19	30	67	188
ENSSSCG00000037747	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037749	0	0	21	0	0	0	0	0	0	2	0	3
ENSSSCG00000037751	16	34	0	69	17	0	37	30	0	26	0	0
ENSSSCG00000037753	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037754	107	97	127	88	91	148	47	141	38	9	100	69
ENSSSCG00000037755	56	16	10	0	58	0	20	86	2	7	5	2
ENSSSCG00000037756	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037757	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000037762	160	169	126	57	125	18	34	53	11	4	4	17
ENSSSCG00000037763	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037764	0	7	1	32	0	0	0	0	0	3	0	0
ENSSSCG00000037766	82	57	170	92	49	28	30	42	29	29	198	92
ENSSSCG00000037767	21	4	60	39	48	1	26	25	0	25	12	12
ENSSSCG00000037769	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037770	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037771	163	558	322	213	0	189	649	99	400	776	106	40
ENSSSCG00000037772	51	30	23	93	96	11	32	62	3	21	30	25
ENSSSCG00000037773	0	0	0	0	0	0	0	0	0	13	0	0
ENSSSCG00000037774	0	0	0	0	0	0	8	0	0	0	0	0
ENSSSCG00000037775	60866	33871	20564	94668	174314	55774	16723	87768	847	1338	2433	3899
ENSSSCG00000037777	92	10	35	77	70	65	7	87	42	7	92	49
ENSSSCG00000037779	65	82	79	72	91	12	24	70	60	19	47	63
ENSSSCG00000037781	0	0	0	0	9	0	0	0	0	0	9	0
ENSSSCG00000037782	8	4	0	0	15	0	7	15	14	0	0	1
ENSSSCG00000037784	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037789	0	2	0	0	0	0	17	0	0	17	0	0
ENSSSCG00000037791	47	2	54	75	63	67	29	25	24	5	130	19
ENSSSCG00000037792	40	12	7	10	19	1	7	7	14	7	18	9
ENSSSCG00000037793	25	32	30	3	28	0	7	24	4	2	23	1
ENSSSCG00000037794	0	0	69	0	6	0	0	0	0	0	0	0
ENSSSCG00000037798	0	0	0	0	4	0	7	0	0	2	0	0
ENSSSCG00000037803	248	288	332	588	858	302	199	553	244	65	404	308
ENSSSCG00000037806	0	0	0	5	0	18	8	0	0	5	0	0
ENSSSCG00000037808	220	131	195	86	63	75	50	177	21	16	20	29
ENSSSCG00000037809	0	0	0	0	0	0	0	19	0	0	0	0
ENSSSCG00000037810	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037811	40	107	41	6	72	9	32	49	1	9	46	14
ENSSSCG00000037812	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037815	108	197	327	58	88	104	27	209	17	19	39	112
ENSSSCG00000037816	16	4	22	8	26	0	9	119	7	4	3	9
ENSSSCG00000037821	136	38	63	293	107	74	59	226	0	2	6	0
ENSSSCG00000037822	0	3	2	0	0	0	0	0	0	20	0	0
ENSSSCG00000037823	0	3	1	0	0	0	2	0	3	6	0	0
ENSSSCG00000037825	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037826	6	4	0	56	4	11	0	16	2	0	0	0
ENSSSCG00000037827	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037828	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037830	0	2	0	0	0	0	2	0	0	1	0	0
ENSSSCG00000037831	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037832	20	4	5	34	18	7	9	48	28	25	67	21
ENSSSCG00000037833	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037834	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037835	129	80	20	5	13	0	12	16	0	34	2	0
ENSSSCG00000037836	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037841	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037843	30	27	23	32	27	68	24	28	7	4	24	6
ENSSSCG00000037845	19	6	4	58	11	0	1	5	32	4	25	0
ENSSSCG00000037846	4	14	0	8	4	0	7	34	0	18	71	1
ENSSSCG00000037847	20	59	13	53	43	20	0	27	38	13	62	91
ENSSSCG00000037848	0	0	0	0	0	0	0	0	0	0	4	0
ENSSSCG00000037850	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037852	0	0	0	0	0	0	0	0	0	15	0	0
ENSSSCG00000037854	2	2	5	56	10	0	14	52	1	10	3	3
ENSSSCG00000037856	6	1	0	0	0	0	0	0	0	7	0	0
ENSSSCG00000037858	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037859	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037862	0	13	0	0	0	0	0	0	1	2	0	0
ENSSSCG00000037865	22	48	3	6	19	63	5	12	17	5	80	74
ENSSSCG00000037866	0	0	0	0	0	0	24	0	0	13	0	0
ENSSSCG00000037867	0	0	0	0	0	0	3	0	0	0	0	0
ENSSSCG00000037868	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000037869	25	20	22	34	22	44	0	36	0	6	33	0
ENSSSCG00000037870	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037873	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037875	26	33	16	0	7	31	5	55	30	13	24	63
ENSSSCG00000037876	0	0	0	0	0	0	0	0	0	0	1	0
ENSSSCG00000037877	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037878	0	0	12	0	0	0	1	0	0	2	0	0
ENSSSCG00000037879	0	0	0	5	0	0	0	0	0	0	9	0
ENSSSCG00000037880	278	329	379	303	286	271	111	284	44	28	121	135
ENSSSCG00000037882	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037883	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037885	0	0	0	0	0	5	0	0	0	0	0	0
ENSSSCG00000037890	73	68	62	51	84	30	61	54	39	14	65	10
ENSSSCG00000037892	2	2	0	2	0	17	8	0	0	1	0	0
ENSSSCG00000037896	0	0	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000037898	100	114	206	157	152	65	91	208	16	29	48	47
ENSSSCG00000037900	391	197	206	174	242	265	59	251	157	53	318	126
ENSSSCG00000037902	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037905	163	372	327	424	454	223	145	291	123	61	205	224
ENSSSCG00000037910	102	125	142	184	153	74	24	156	25	18	137	111
ENSSSCG00000037912	9	5	25	4	6	56	3	0	2	5	1	6
ENSSSCG00000037913	80	183	250	236	487	168	42	215	0	4	12	51
ENSSSCG00000037914	0	0	0	0	0	8	38	0	16	19	0	14
ENSSSCG00000037916	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037917	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037918	9	0	0	39	7	0	0	0	2	7	81	2
ENSSSCG00000037919	0	3	0	0	0	0	0	0	0	8	0	0
ENSSSCG00000037920	430	418	439	331	575	433	160	486	196	142	464	350
ENSSSCG00000037923	0	108	28	19	0	16	2	35	0	7	25	31
ENSSSCG00000037925	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037928	2	11	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000037929	93	32	50	70	90	9	15	27	5	3	4	35
ENSSSCG00000037932	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037935	31	38	115	26	23	15	9	65	12	17	47	100
ENSSSCG00000037938	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037942	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037943	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037944	0	0	13	0	0	0	0	0	0	0	0	0
ENSSSCG00000037946	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037948	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037950	5	38	69	5	4	76	3	0	3	2	6	0
ENSSSCG00000037951	49	93	67	69	72	24	53	79	7	16	63	19
ENSSSCG00000037952	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037954	0	9	0	0	0	0	11	0	10	10	0	0
ENSSSCG00000037957	0	0	0	0	0	0	4	0	0	0	0	0
ENSSSCG00000037958	233	117	255	308	356	128	77	247	229	66	490	402
ENSSSCG00000037959	0	0	0	0	0	0	2	0	0	5	0	0
ENSSSCG00000037962	0	0	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000037963	11	24	45	0	40	6	26	45	3	6	12	18
ENSSSCG00000037968	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037970	22	12	0	89	79	61	2	0	0	1	1	0
ENSSSCG00000037973	24	66	16	97	18	46	22	59	21	13	39	2
ENSSSCG00000037975	1	15	1	1	10	2	0	0	18	0	23	7
ENSSSCG00000037977	345	159	283	352	548	246	152	321	57	108	346	225
ENSSSCG00000037979	41	55	68	24	66	52	20	83	55	13	42	92
ENSSSCG00000037981	0	0	0	0	0	0	3	0	3	0	0	0
ENSSSCG00000037982	9	1	0	11	1	1	1	2	1	0	0	0
ENSSSCG00000037985	34	6	19	7	37	72	19	14	38	19	10	10
ENSSSCG00000037986	0	0	0	0	1	0	7	0	0	0	0	0
ENSSSCG00000037987	0	10	0	0	19	0	3	0	0	0	2	0
ENSSSCG00000037988	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037989	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037991	10	2	1	42	32	0	74	0	10	4	28	1
ENSSSCG00000037993	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037995	14	31	8	10	9	0	0	0	18	6	3	0
ENSSSCG00000037996	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000037997	51	37	54	19	127	64	84	88	14	53	86	9
ENSSSCG00000037998	0	0	0	0	0	0	5	2	0	21	2	0
ENSSSCG00000037999	68	116	88	24	59	20	11	21	26	6	18	20
ENSSSCG00000038001	74	57	84	16	37	15	20	2	16	70	59	21
ENSSSCG00000038002	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038003	54	28	88	51	60	113	38	58	41	19	65	71
ENSSSCG00000038004	0	0	0	0	0	0	2	0	0	0	0	0
ENSSSCG00000038005	20	7	0	0	2	0	23	0	7	0	0	4
ENSSSCG00000038006	12	4	35	0	39	0	0	63	10	17	56	15
ENSSSCG00000038007	5	4	0	40	19	0	0	1	1	7	11	0
ENSSSCG00000038008	374	231	381	422	483	197	135	266	70	67	408	306
ENSSSCG00000038009	36	0	13	13	9	36	65	11	0	7	10	18
ENSSSCG00000038012	23	11	0	0	6	0	0	0	20	0	0	0
ENSSSCG00000038013	74	8	14	11	7	7	21	19	17	13	16	0
ENSSSCG00000038019	1	0	1	1	0	0	0	0	0	5	0	0
ENSSSCG00000038021	0	0	0	0	0	0	0	0	0	0	2	0
ENSSSCG00000038025	303	182	397	290	366	260	98	336	183	111	412	510
ENSSSCG00000038026	74	40	21	33	78	16	5	49	31	8	38	87
ENSSSCG00000038027	3	0	0	0	0	0	10	0	0	0	0	0
ENSSSCG00000038028	25	0	7	11	11	0	0	0	9	3	48	3
ENSSSCG00000038029	0	2	0	0	0	0	0	0	5	2	0	0
ENSSSCG00000038030	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038031	38	2	24	99	77	51	14	247	16	72	244	100
ENSSSCG00000038033	51	2	34	66	49	0	53	7	5	7	11	1
ENSSSCG00000038034	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038035	0	0	0	0	0	0	10	0	0	13	0	0
ENSSSCG00000038036	14	27	12	33	7	0	59	10	7	11	0	0
ENSSSCG00000038037	0	12	0	0	0	0	3	0	0	0	0	0
ENSSSCG00000038038	137	78	60	46	129	43	21	77	51	21	64	12
ENSSSCG00000038039	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038041	63	62	123	2	33	18	37	86	17	14	124	6
ENSSSCG00000038042	8	1	1	16	21	0	18	8	0	6	20	3
ENSSSCG00000038043	6	19	9	21	0	2	0	0	0	18	1	0
ENSSSCG00000038044	109	52	164	89	37	68	35	50	27	29	63	23
ENSSSCG00000038046	7	1	0	0	0	0	0	0	1	4	0	0
ENSSSCG00000038047	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038048	4	0	0	0	0	0	0	0	1	4	7	23
ENSSSCG00000038049	0	0	0	0	1	0	0	0	0	0	0	0
ENSSSCG00000038050	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038053	129	76	171	134	201	100	113	164	54	53	168	141
ENSSSCG00000038055	162	46	70	199	235	92	21	195	136	41	147	144
ENSSSCG00000038056	0	0	17	5	0	0	0	0	0	0	0	0
ENSSSCG00000038057	0	1	0	18	1	42	12	0	0	4	0	0
ENSSSCG00000038058	1	0	0	0	0	0	0	1	0	0	0	0
ENSSSCG00000038060	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038062	45	10	65	33	55	0	45	34	18	15	16	3
ENSSSCG00000038064	0	0	0	9	0	0	4	0	2	6	0	0
ENSSSCG00000038066	22	29	0	0	4	0	2	84	16	40	25	0
ENSSSCG00000038067	0	17	0	0	0	0	11	31	7	41	6	0
ENSSSCG00000038071	51	8	0	33	38	32	6	71	102	14	138	47
ENSSSCG00000038073	6	19	24	7	42	55	12	17	9	14	52	135
ENSSSCG00000038075	0	23	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038076	130	66	75	90	164	38	34	177	32	22	88	48
ENSSSCG00000038077	0	2	0	22	10	18	15	1	16	9	108	80
ENSSSCG00000038078	0	0	0	0	0	0	1	0	0	2	0	0
ENSSSCG00000038079	29	11	63	5	18	18	0	2	0	0	26	0
ENSSSCG00000038080	19	60	0	24	15	0	1	10	2	7	82	18
ENSSSCG00000038081	158	134	264	190	173	168	26	180	89	55	144	294
ENSSSCG00000038082	81	6	39	86	61	25	29	16	4	16	186	29
ENSSSCG00000038085	38	8	38	41	62	0	1	87	15	25	4	3
ENSSSCG00000038086	144	108	73	255	140	108	74	152	76	43	134	121
ENSSSCG00000038087	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038088	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038089	1597	1218	1480	1816	1448	1296	387	1805	145	107	226	112
ENSSSCG00000038090	0	0	0	9	0	0	0	0	0	0	0	0
ENSSSCG00000038092	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000038094	52	25	24	92	43	7	30	17	7	14	4	9
ENSSSCG00000038095	40	37	9	54	56	27	46	14	17	7	28	0
ENSSSCG00000038097	0	9	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038099	2	4	0	0	0	0	0	0	3	3	9	0
ENSSSCG00000038107	0	0	0	0	0	0	0	0	1	0	0	0
ENSSSCG00000038109	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038110	2	31	14	48	18	0	38	11	0	4	2	0
ENSSSCG00000038111	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038112	0	13	0	0	2	0	0	0	2	8	2	0
ENSSSCG00000038113	0	0	0	0	0	0	16	0	0	0	0	0
ENSSSCG00000038114	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038117	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000038118	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038121	0	8	44	0	0	0	36	0	4	4	0	0
ENSSSCG00000038122	0	23	0	20	0	0	0	0	0	2	0	0
ENSSSCG00000038123	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038124	0	2	0	0	0	0	0	0	0	10	0	0
ENSSSCG00000038125	0	0	0	16	0	0	6	0	0	28	0	0
ENSSSCG00000038126	81	133	146	34	65	63	31	114	14	2	45	24
ENSSSCG00000038128	37	29	1	25	72	88	41	107	41	56	101	119
ENSSSCG00000038130	21	29	7	81	84	4	26	27	147	37	97	404
ENSSSCG00000038131	0	0	0	0	0	0	0	0	0	4	0	0
ENSSSCG00000038132	446	186	208	405	312	243	175	385	162	122	461	273
ENSSSCG00000038135	11	27	19	0	1	8	0	0	0	7	18	2
ENSSSCG00000038136	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038138	33	11	1	30	235	14	54	86	40	45	211	368
ENSSSCG00000038139	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038141	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000038142	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038144	885	702	759	2296	1340	1154	578	1246	609	330	1938	685
ENSSSCG00000038146	1	3	0	2	2	1	0	4	0	0	4	0
ENSSSCG00000038147	0	4	0	0	0	0	0	0	10	8	0	0
ENSSSCG00000038148	13	15	0	39	11	9	0	0	0	9	6	41
ENSSSCG00000038149	0	9	42	1	0	0	2	0	0	2	0	6
ENSSSCG00000038150	25	16	119	14	27	0	15	0	23	20	65	0
ENSSSCG00000038151	30	37	21	130	158	14	36	77	37	26	63	123
ENSSSCG00000038152	5	0	0	0	0	0	0	0	5	19	1	0
ENSSSCG00000038153	7	7	9	16	0	0	2	1	22	1	6	0
ENSSSCG00000038154	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038156	123	41	69	132	90	82	33	40	40	14	57	106
ENSSSCG00000038158	42	10	38	57	26	25	14	25	1	2	59	0
ENSSSCG00000038160	5	0	10	0	0	0	9	0	19	3	0	0
ENSSSCG00000038162	27	4	0	111	71	14	0	15	1	1	2	4
ENSSSCG00000038164	320	303	536	432	457	303	226	522	256	111	376	213
ENSSSCG00000038166	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038170	0	0	0	0	0	0	0	0	0	0	1	0
ENSSSCG00000038171	1	0	0	16	0	0	9	0	0	8	0	0
ENSSSCG00000038172	28	8	41	2	35	9	3	29	44	4	50	77
ENSSSCG00000038173	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038175	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038176	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038177	5	0	1	0	0	0	6	0	11	23	21	0
ENSSSCG00000038178	63	4	12	25	57	8	30	38	8	8	21	68
ENSSSCG00000038179	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000038180	40	58	51	108	23	2	32	53	32	19	13	0
ENSSSCG00000038181	211	50	178	125	278	73	53	317	42	23	114	117
ENSSSCG00000038182	4	0	0	0	0	0	0	0	6	2	0	0
ENSSSCG00000038183	0	0	0	0	0	0	0	0	0	8	0	0
ENSSSCG00000038184	0	0	0	0	0	0	6	0	0	0	0	0
ENSSSCG00000038185	1	1	33	0	0	0	0	0	23	17	17	0
