	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000207	67	8	19	9	39	2	8	19	5	1	1	1
ENSSSCG00000000209	154	86	64	214	190	160	102	171	93	42	227	284
ENSSSCG00000000211	70	120	44	86	125	201	1	85	28	8	108	46
ENSSSCG00000000212	0	12	0	0	0	0	0	7	0	8	0	0
ENSSSCG00000000214	51	14	32	31	29	1	29	46	15	32	48	70
ENSSSCG00000000215	117	70	150	166	195	74	26	93	80	45	101	37
ENSSSCG00000000216	0	0	0	0	0	3	0	0	0	6	0	0
ENSSSCG00000000217	63	46	154	95	99	31	21	118	15	18	14	30
ENSSSCG00000000220	27	49	19	52	53	52	70	20	27	9	29	27
ENSSSCG00000000223	150	48	60	81	344	40	112	134	57	20	70	249
ENSSSCG00000000228	56	34	41	86	22	17	17	5	5	31	21	13
ENSSSCG00000000231	4	0	0	0	0	0	0	0	1	5	0	0
ENSSSCG00000000232	70	60	39	276	171	52	58	103	399	102	540	334
ENSSSCG00000000233	124	116	164	61	40	124	45	102	40	86	215	178
ENSSSCG00000000234	23	27	87	41	27	13	46	33	17	15	59	80
ENSSSCG00000000235	1	0	0	34	0	0	0	0	0	1	0	0
ENSSSCG00000000236	1	18	0	0	0	0	41	0	0	12	0	0
ENSSSCG00000000238	0	0	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000000239	8	21	0	10	0	0	14	0	10	21	0	0
ENSSSCG00000000240	2	30	0	24	0	0	28	4	10	6	0	0
ENSSSCG00000000241	4	9	0	0	20	0	10	0	5	2	0	0
ENSSSCG00000000247	0	17	18	0	0	0	5	0	0	8	14	0
ENSSSCG00000000248	1465	1243	1950	179	48	325	41	1137	26	11	0	10
ENSSSCG00000000249	7	5	22	8	0	0	20	6	4	4	9	0
ENSSSCG00000000250	0	1	0	0	0	1	2	9	0	4	0	0
ENSSSCG00000000251	19	9	25	3	0	2	43	5	15	6	2	0
ENSSSCG00000000252	327	592	478	302	177	283	33	456	60	18	162	85
ENSSSCG00000000253	55	199	154	234	175	225	47	64	16	12	41	40
ENSSSCG00000000257	254	70	204	299	412	145	51	373	24	22	170	87
ENSSSCG00000000258	159	160	331	136	148	207	40	77	41	34	29	45
ENSSSCG00000000259	156	46	110	2	72	7	24	39	24	25	187	68
ENSSSCG00000000260	2	6	36	0	0	0	11	43	5	3	0	0
ENSSSCG00000000261	4	0	0	24	63	9	0	80	6	1	1	0
ENSSSCG00000000262	173	186	197	295	354	173	110	237	79	50	200	172
ENSSSCG00000000263	461	263	390	866	702	598	338	429	241	129	757	376
ENSSSCG00000000264	17	1	40	35	38	30	9	10	18	6	29	48
ENSSSCG00000000265	81	35	70	103	87	36	16	29	57	58	111	103
ENSSSCG00000000267	1	0	0	2	0	0	0	0	0	0	2	0
ENSSSCG00000000268	39	30	4	68	58	1	6	20	0	18	31	58
ENSSSCG00000000271	10	2	2	3	0	24	7	0	8	10	5	1
ENSSSCG00000000272	330	119	152	320	423	120	185	294	118	72	415	314
ENSSSCG00000000273	14	23	54	42	68	14	42	73	64	80	279	408
ENSSSCG00000000274	386	275	452	467	477	286	191	530	106	60	401	227
ENSSSCG00000000275	51	47	103	124	76	196	24	98	2	9	21	40
ENSSSCG00000000276	52	21	42	59	41	11	37	46	21	5	30	17
ENSSSCG00000000277	0	0	3	0	0	0	0	0	0	9	3	0
ENSSSCG00000000278	283	201	233	297	381	83	240	208	63	86	364	314
ENSSSCG00000000279	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000281	0	7	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000288	829	465	969	727	854	407	169	1094	112	77	714	465
ENSSSCG00000000289	2	3	0	0	0	0	0	0	0	7	2	0
ENSSSCG00000000290	113	94	94	144	177	89	25	187	36	35	103	121
ENSSSCG00000000291	0	6	14	0	4	0	0	0	0	0	0	0
ENSSSCG00000000292	62	58	74	34	58	38	25	130	52	24	122	91
ENSSSCG00000000293	182	145	117	381	303	221	150	269	200	91	671	376
ENSSSCG00000000295	262	80	196	302	871	182	245	559	150	148	562	696
ENSSSCG00000000296	0	0	3	0	0	0	0	0	0	0	0	0
ENSSSCG00000000297	96	19	32	105	205	139	136	83	88	61	156	258
ENSSSCG00000000298	3	5	1	0	0	0	2	0	0	4	0	1
ENSSSCG00000000299	41	2	9	0	102	19	25	51	25	16	22	2
ENSSSCG00000000312	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000318	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000327	0	0	0	2	0	0	0	0	0	1	0	0
ENSSSCG00000000332	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000333	0	0	0	0	0	0	0	0	0	7	0	0
ENSSSCG00000000352	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000353	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000359	40	23	18	25	117	38	6	12	53	22	61	56
ENSSSCG00000000361	195	115	203	166	479	139	81	370	23	44	125	151
ENSSSCG00000000362	0	11	0	0	7	0	3	0	7	3	3	0
ENSSSCG00000000363	18	17	9	8	58	10	4	38	35	12	27	0
ENSSSCG00000000364	77	4	29	28	36	6	11	46	3	17	11	38
ENSSSCG00000000365	32	16	2	24	16	6	0	46	3	5	21	33
ENSSSCG00000000366	159	143	151	270	402	133	99	111	163	97	370	403
ENSSSCG00000000367	40	3	63	24	51	17	51	21	19	8	44	22
ENSSSCG00000000368	19	20	32	64	21	19	0	13	0	8	13	8
ENSSSCG00000000370	129	72	124	145	138	113	25	131	26	36	38	70
ENSSSCG00000000371	8	0	0	0	0	0	29	0	0	0	9	0
ENSSSCG00000000376	27	18	39	13	65	18	3	0	13	3	0	4
ENSSSCG00000000377	200	88	86	109	181	103	63	150	40	27	104	111
ENSSSCG00000000379	275	156	34	442	370	97	61	231	98	74	228	214
ENSSSCG00000000382	1023	643	1165	832	1106	588	270	1067	443	220	890	781
ENSSSCG00000000383	67	24	41	89	62	23	33	108	14	31	84	104
ENSSSCG00000000384	26	16	0	4	54	0	18	77	20	17	36	27
ENSSSCG00000000385	4	0	0	12	0	0	4	0	0	4	0	5
