	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000203	1	2	4	1	1	1	0	9	1	0	1	0
ENSSSCG00000000204	68	68	105	66	56	86	74	96	13	17	28	13
ENSSSCG00000000205	4	2	1	5	2	18	1	5	1	1	0	1
ENSSSCG00000000206	5	36	12	45	8	40	23	48	0	1	0	3
ENSSSCG00000000207	101	108	64	71	57	69	50	111	50	59	47	33
ENSSSCG00000000209	313	313	312	322	215	244	287	209	86	83	63	124
ENSSSCG00000000211	58	424	156	1222	93	345	570	1540	2	1	2	0
ENSSSCG00000000212	1	4	3	5	1	0	0	8	0	1	0	1
ENSSSCG00000000214	29	67	40	43	20	74	56	19	377	148	254	143
ENSSSCG00000000215	183	233	165	287	112	217	155	204	158	170	192	176
ENSSSCG00000000216	4	0	0	0	0	6	0	0	0	1	0	2
ENSSSCG00000000217	228	228	392	227	236	205	522	145	241	365	245	505
ENSSSCG00000000220	39	60	57	61	38	74	45	107	0	2	0	9
ENSSSCG00000000223	120	345	238	236	108	403	225	155	199	329	273	277
ENSSSCG00000000228	3	4	2	6	2	2	2	5	2	1	2	2
ENSSSCG00000000231	10	23	9	25	18	10	6	10	4	7	0	2
ENSSSCG00000000232	2053	4993	754	4883	1409	1798	394	2116	1007	1412	919	1031
ENSSSCG00000000233	613	352	323	329	282	209	295	249	380	455	421	425
ENSSSCG00000000234	743	496	1287	536	464	436	850	328	13	57	20	108
ENSSSCG00000000235	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000236	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000238	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000239	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000240	0	1	1	0	0	0	0	3	0	1	0	0
ENSSSCG00000000241	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000247	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000248	1173	1654	5746	3983	1626	1277	3251	4265	7	5	1	5
ENSSSCG00000000249	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000250	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000251	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000252	307	1703	1088	3642	550	1484	2318	4744	7	36	17	34
ENSSSCG00000000253	103	519	180	1151	160	496	813	1545	3	4	18	7
ENSSSCG00000000257	277	465	391	511	132	144	323	159	14	244	42	393
ENSSSCG00000000258	83	147	182	191	41	72	62	144	55	33	46	55
ENSSSCG00000000259	15	49	56	48	14	54	49	75	85	95	139	97
ENSSSCG00000000260	0	0	0	1	0	4	0	0	0	0	0	0
ENSSSCG00000000261	21	42	54	41	8	47	61	75	7	39	4	56
ENSSSCG00000000262	435	520	269	780	190	269	272	506	411	406	371	408
ENSSSCG00000000263	37	175	269	241	51	134	191	476	12	57	9	87
