NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,CvsA_log2FoldChange,CvsB_log2FoldChange,BvsA_pvalue,CvsA_pvalue,CvsB_pvalue,BvsA_padj,CvsA_padj,CvsB_padj,Avg_norm_A,Avg_norm_B,Avg_norm_C,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,cell type
100513863,114132,ENSSSCG00000022906,ENSG00000142512,SIGLEC10,SIGLEC10,I,-0.49091528,-3.196505826,-2.705590547,0.376009177,9.31E-09,1.18E-06,1,1.56E-07,1.22E-05,1566.701735,1000.027484,190.2899797,2273.732917,1414.409005,1435.584486,1143.08053,764.3409964,1539.48092,1267.88667,428.4013495,213.8125898,237.5065925,160.9217187,148.9190177,
100515209,27181,ENSSSCG00000031916,ENSG00000105366,SIGLEC13,SIGLEC8,I,-0.890897883,-4.914737687,-4.023839804,0.11788422,4.84E-17,6.77E-12,1,3.39E-15,2.02E-10,748.0184002,336.3731212,27.08400077,1029.029283,718.163916,586.0872442,658.7931574,314.366055,501.4792637,394.7600916,134.8870748,20.0449303,46.65308067,23.98833074,17.64966135,
100514653,946,ENSSSCG00000003236,ENSG00000105501,SIGLEC5,SIGLEC5,I,-0.611644588,-0.767832961,-0.156188373,0.195977822,0.104516842,0.741660382,1,0.247957069,0.937312054,648.2165027,320.4532076,299.2555086,288.0963655,1119.149514,319.8549968,865.765135,104.788685,680.3200613,345.6305605,151.0735237,418.0799748,429.4204017,139.9319293,209.5897286,
100518460,284266,ENSSSCG00000004493,ENSG00000197046,SIGLEC15,SIGLEC15,I,0.399577331,-3.386127407,-3.785704737,0.56689088,2.62E-05,2.50E-06,1,0.000201567,2.41E-05,44.33907243,40.05107551,3.170810012,17.5086189,52.86305306,2.822249972,104.1623678,18.49212088,64.0443397,17.23843195,60.4294095,1.909040981,6.361783728,0,4.412415338,
397623,6614,ENSSSCG00000007146,ENSG00000088827,SIGLEC1,SIGLEC1,I,1.698792865,3.589907241,1.891114377,9.15E-09,4.68E-34,1.19E-10,3.12E-05,2.08E-31,2.74E-09,486.109775,1284.179462,4868.937264,148.8232606,709.1385167,441.2117456,645.2655772,407.5115527,2444.560362,834.3401062,1450.305828,3371.366372,3943.245614,5721.216883,6439.920186,
100135031,3133,ENSSSCG00000001229,ENSG00000204592,SLA-3,HLA-E,A,0.103418669,0.178986368,0.075567699,0.67307615,0.46523847,0.757848801,1,0.742871708,0.949616571,41266.6496,34513.90826,40092.91334,19201.384,63246.13029,27087.01448,55532.06962,14816.98308,62384.0204,25349.11418,35505.51537,23213.93833,47798.20175,27701.52444,61657.98883,
100135040,3122,ENSSSCG00000001453,ENSG00000204287,SLA-DRA,HLA-DRA,A,-0.373198265,-0.81115772,-0.437959455,0.266836474,0.015803939,0.192566404,1,0.052871595,0.391029451,68006.26163,39617.22394,37187.28876,55177.6166,83733.78671,60439.4239,72674.2193,34353.56634,53658.28121,39089.86828,31367.17992,27106.47289,42421.4342,40864.12142,38357.12653,
100037921,3120,ENSSSCG00000001457,ENSG00000179344,SLA-DQB1,HLA-DQB1,A,-0.407316329,-0.806729583,-0.399413254,0.285843544,0.034529279,0.295311423,1,0.100947276,0.535648965,43411.01652,24726.39651,24030.98894,38433.01017,56918.03603,37826.61638,40466.40351,22829.55057,33753.78379,25331.87575,16990.37594,22717.58767,26854.14941,23776.43382,22775.78487,
100135049,3112,ENSSSCG00000001459,ENSG00000241106,SLA-DOB,HLA-DOB,A,-0.021603332,-0.526471185,-0.504867853,0.970995127,0.378972365,0.400516523,1,0.646372793,0.664479319,38.72211962,31.69429173,23.40392126,16.71277258,91.54333579,26.34099974,20.29137035,8.218720391,73.71140984,27.58149111,17.26554557,8.590684413,41.35159423,14.99270672,28.6806997,
100135050,3109,ENSSSCG00000001469,ENSG00000242574,SLA-DMB,HLA-DMB,A,0.157463084,0.872648735,0.715185651,0.578300083,0.002053077,0.011531518,1,0.009359344,0.040049547,2986.870529,2480.251038,4659.267975,1456.398754,5112.244034,2285.081727,3093.7576,1608.814517,4529.022362,2013.448851,1769.718421,3730.266076,4999.301713,5476.336006,4431.168103,
