baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000000175	177.985039179742	-3.22899600019989	0.725573664424832	-4.45026626312235	8.57638908831424e-06	7.32855666424717e-05
ENSSSCG00000000176	470.670349197372	-0.14306293802382	0.172196720881133	-0.830811047340306	0.406080380799496	0.670183076913859
ENSSSCG00000000179	1.14011001551765	1.50903886715349	1.80204881037935	0.837401772061779	0.402366770014633	0.666254342171301
ENSSSCG00000000182	10.0540416129878	-1.75609035923824	0.693933166994682	-2.53063326954612	0.011385682253415	0.0396438428300301
ENSSSCG00000000183	0	NA	NA	NA	NA	NA
ENSSSCG00000000184	2.68283392389832	-0.957484962639649	1.19494869868123	-0.801277045362991	0.422971276684352	0.687592576798021
ENSSSCG00000000185	90.7304661604651	0.435194158423286	0.238780619722426	1.82256901305133	0.0683686923782087	0.174203292156413
ENSSSCG00000000186	12.0523340863202	0.243924768193626	0.598702272685152	0.407422485803561	0.683697714749957	0.90577395411989
ENSSSCG00000000188	1.37784283573475	-2.06490411751281	2.07420152265252	-0.995517597958457	0.319484589644166	0.567047096266662
ENSSSCG00000000189	235.62622371955	-0.942700500598689	0.209619050103085	-4.49720815038086	6.88515751891331e-06	6.02664513968615e-05
ENSSSCG00000000190	2403.91350353255	1.35241956668105	0.189567468125478	7.13423869640889	9.73243119972585e-13	3.34048991145029e-11
ENSSSCG00000000194	269.627677315545	-2.83641056470017	0.548087184839682	-5.17510834618371	2.27778762190998e-07	2.75363694162581e-06
ENSSSCG00000000195	15.4536414821522	-7.5243449209436	1.39300858194274	-5.40150650791389	6.60835412764592e-08	8.94397519350016e-07
ENSSSCG00000000197	0.157188619214243	1.3041604572706	3.81380491571417	0.34195783111428	0.732382627142187	0.935394831101939
ENSSSCG00000000198	12.8421624701649	-7.17952859804196	1.46400214729485	-4.90404239591325	9.38842122495224e-07	9.94202270390162e-06
ENSSSCG00000000199	134.587949355267	-1.37183223043058	0.26398388136491	-5.19665148999863	2.02910255419195e-07	2.48674284915953e-06
ENSSSCG00000000202	223.579983419447	0.521253697478666	0.268332359205459	1.94256741535801	0.052068447127442	0.139413896522725
ENSSSCG00000000203	1.70624457125798	-2.46082287251005	1.61588545288833	-1.52289437850401	0.127785132433673	0.285731683620515
ENSSSCG00000000204	57.9824284375858	-2.24095216991396	0.376806830179091	-5.94721748766833	2.72738927144066e-09	4.92830101949652e-08
ENSSSCG00000000205	3.15362630791493	-3.06195126685144	1.23375473193801	-2.48181521625589	0.0130715040444828	0.044619055368232
ENSSSCG00000000206	16.6530531039421	-4.93191521219018	0.961570631250892	-5.12902022160799	2.91254059294921e-07	3.41700906761002e-06
ENSSSCG00000000207	68.1128089771074	-0.704160679979376	0.355375165520807	-1.98145719875338	0.047540024720856	0.129660021334645
ENSSSCG00000000209	216.004138560937	-1.59574283591614	0.29057136230092	-5.49174159242702	3.9798942159635e-08	5.65940405130521e-07
ENSSSCG00000000211	332.138162549618	-8.99030530559684	1.01500907029817	-8.8573644991722	8.19283054873393e-19	6.7421401917312e-17
ENSSSCG00000000212	1.83061101192255	-2.22701274893576	1.65884166727902	-1.34251073677738	0.179430451452053	0.371122376168771
ENSSSCG00000000214	104.502724250205	2.40377025919226	0.470550230170863	5.10842436166574	3.24856399405643e-07	3.78432773179138e-06
ENSSSCG00000000215	182.30804728815	-0.0755596228314392	0.159345240257373	-0.474188138342857	0.635365751183629	0.869314697676619
ENSSSCG00000000216	1.06230030774477	-0.873974469181176	2.88519011215151	-0.302917463046983	0.761952762641601	0.952313147867585
ENSSSCG00000000217	300.140214016331	0.0532570670509154	0.476618719766631	0.111739352321268	0.911030076058834	1
ENSSSCG00000000220	39.9463087676065	-4.67882149221853	0.599243403850558	-7.80788150883902	5.81572213208206e-15	2.83064043250578e-13
ENSSSCG00000000223	232.058243213986	0.216874441833661	0.317278601986251	0.683545755925448	0.494262047695107	0.758597255696856
ENSSSCG00000000228	2.65124214891982	-0.755668344449482	0.918663297784745	-0.822573783312877	0.410750412364797	0.675910247227073
ENSSSCG00000000231	10.1535115517879	-1.97530595302201	0.741494987665074	-2.66395051333001	0.00772289228854041	0.0285701003582743
ENSSSCG00000000232	1755.60706693646	-0.491717276346806	0.494694962161314	-0.993980763819589	0.320232232579892	0.567882187606627
ENSSSCG00000000233	368.435553822959	0.499519453336047	0.387788339179978	1.28812396574981	0.197702814057666	0.398455971352016
ENSSSCG00000000234	466.35703516046	-3.64796066496668	0.620323209118932	-5.88074186382291	4.084317116039e-09	7.11059830286789e-08
ENSSSCG00000000235	0	NA	NA	NA	NA	NA
ENSSSCG00000000236	0	NA	NA	NA	NA	NA
ENSSSCG00000000238	0	NA	NA	NA	NA	NA
ENSSSCG00000000239	0	NA	NA	NA	NA	NA
ENSSSCG00000000240	0.463483802520499	-1.2787422720808	3.02705997025992	-0.422437046059249	0.67270604236642	0.898944796799942
ENSSSCG00000000241	0	NA	NA	NA	NA	NA
ENSSSCG00000000247	0	NA	NA	NA	NA	NA
ENSSSCG00000000248	1915.13479742763	-9.31295802294119	0.653790409066913	-14.24456200915	4.8457654987878e-46	6.2059113022288e-43
